,id,geometry,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,UTILITYNAM,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,GLOBALID,SHAPE_STAr,SHAPE_STLe
0,62,MULTIPOINT (7369621.0722 564893.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
1,63,MULTIPOINT (7369621.0722 554333.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
2,64,MULTIPOINT (7369621.0722 543773.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
3,65,MULTIPOINT (7369621.0722 533213.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
4,100,MULTIPOINT (7380181.0722 564893.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
5,101,MULTIPOINT (7380181.0722 554333.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
6,102,MULTIPOINT (7380181.0722 543773.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
7,103,MULTIPOINT (7380181.0722 533213.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
8,104,MULTIPOINT (7380181.0722 522653.7969),41,053,020400,2,410530204002,Block Group 2,G5030,S,189788385,20837,+45.0364029,-123.5967523,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
9,138,MULTIPOINT (7390741.0722 564893.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
10,139,MULTIPOINT (7390741.0722 554333.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
11,140,MULTIPOINT (7390741.0722 543773.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
12,141,MULTIPOINT (7390741.0722 533213.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
13,142,MULTIPOINT (7390741.0722 522653.7969),41,053,020400,2,410530204002,Block Group 2,G5030,S,189788385,20837,+45.0364029,-123.5967523,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
14,143,MULTIPOINT (7390741.0722 512093.7969),41,053,020400,2,410530204002,Block Group 2,G5030,S,189788385,20837,+45.0364029,-123.5967523,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
15,176,MULTIPOINT (7401301.0722 564893.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
16,177,MULTIPOINT (7401301.0722 554333.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
17,178,MULTIPOINT (7401301.0722 543773.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
18,179,MULTIPOINT (7401301.0722 533213.7969),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542676,13445,+45.1500952,-123.6484109,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
19,180,MULTIPOINT (7401301.0722 522653.7969),41,053,020400,2,410530204002,Block Group 2,G5030,S,189788385,20837,+45.0364029,-123.5967523,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
20,181,MULTIPOINT (7401301.0722 512093.7969),41,053,020400,2,410530204002,Block Group 2,G5030,S,189788385,20837,+45.0364029,-123.5967523,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
21,182,MULTIPOINT (7401301.0722 501533.7969),41,053,020400,2,410530204002,Block Group 2,G5030,S,189788385,20837,+45.0364029,-123.5967523,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
22,183,MULTIPOINT (7401301.0722 490973.7969),41,053,020400,3,410530204003,Block Group 3,G5030,S,662710474,1906474,+44.8746280,-123.6035568,329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
