variable,description,table,name
B19051_001,Total:,EARNINGS IN THE PAST 12 MONTHS FOR HOUSEHOLDS,earn_tot
B19051_002,With earnings,EARNINGS IN THE PAST 12 MONTHS FOR HOUSEHOLDS,earn_with
B19051_003,No earnings,EARNINGS IN THE PAST 12 MONTHS FOR HOUSEHOLDS,earn_no
B19058_001,Total:,PUBLIC ASSISTANCE INCOME OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS FOR HOUSEHOLDS,passist_tot
B19058_002,With cash public assistance or Food Stamps/SNAP,PUBLIC ASSISTANCE INCOME OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS FOR HOUSEHOLDS,passist_with
B19058_003,No cash public assistance or Food Stamps/SNAP,PUBLIC ASSISTANCE INCOME OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS FOR HOUSEHOLDS,passist_no
B19001_001,Total:,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_tot
B19001_002,"Less than $10,000",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_<10
B19001_003,"$10,000 to $14,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_10-15
B19001_004,"$15,000 to $19,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_15-20
B19001_005,"$20,000 to $24,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_20-25
B19001_006,"$25,000 to $29,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_25-30
B19001_007,"$30,000 to $34,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_30-35
B19001_008,"$35,000 to $39,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_35-40
B19001_009,"$40,000 to $44,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_40-45
B19001_010,"$45,000 to $49,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_45-50
B19001_011,"$50,000 to $59,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_50-60
B19001_012,"$60,000 to $74,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_60-75
B19001_013,"$75,000 to $99,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_75-100
B19001_014,"$100,000 to $124,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_100-125
B19001_015,"$125,000 to $149,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_125-150
B19001_016,"$150,000 to $199,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_150-200
B19001_017,"$200,000 or more",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_>200
B19013_001,Median household income in the past 12 months (in 2019 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_med
B19113_001,Median family income in the past 12 months (in 2019 inflation-adjusted dollars),MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),hhinc_fam
B25002_001,Total:,OCCUPANCY STATUS,occ_tot
B25002_002,Occupied,OCCUPANCY STATUS,occ_occ
B25002_003,Vacant,OCCUPANCY STATUS,occ_vac
B25081_001,Total:,MORTGAGE STATUS,mort_tot
B25081_002,"Housing units with a mortgage, contract to purchase, or similar debt:",MORTGAGE STATUS,mort_debt
B25081_003,"With either a second mortgage or home equity loan, but not both:",MORTGAGE STATUS,mort_secloan
B25081_004,Second mortgage only,MORTGAGE STATUS,mort_sec
B25081_005,Home equity loan only,MORTGAGE STATUS,mort_heq
B25081_006,Both second mortgage and home equity loan,MORTGAGE STATUS,mort_both
B25081_007,No second mortgage and no home equity loan,MORTGAGE STATUS,mort_no2
B25081_008,Housing units without a mortgage,MORTGAGE STATUS,mort_none
B23025_001,Total:,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,emp_tot
B23025_002,In labor force:,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,emp_in
B23025_003,Civilian labor force:,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,emp_civ
B23025_004,Employed,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,emp_emp
B23025_005,Unemployed,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,emp_un
B23025_006,Armed Forces,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,emp_arm
B23025_007,Not in labor force,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,emp_no
