variable,description,table,name
B25056_001,Total:,CONTRACT RENT,crent_tot
B25056_002,With cash rent:,CONTRACT RENT,crent_cash
B25056_003,Less than $100,CONTRACT RENT,crent<100
B25056_004,$100 to $149,CONTRACT RENT,crent_100
B25056_005,$150 to $199,CONTRACT RENT,crent_150
B25056_006,$200 to $249,CONTRACT RENT,crent_200
B25056_007,$250 to $299,CONTRACT RENT,crent_250
B25056_008,$300 to $349,CONTRACT RENT,crent_300
B25056_009,$350 to $399,CONTRACT RENT,crent_350
B25056_010,$400 to $449,CONTRACT RENT,crent_400
B25056_011,$450 to $499,CONTRACT RENT,crent_450
B25056_012,$500 to $549,CONTRACT RENT,crent_500
B25056_013,$550 to $599,CONTRACT RENT,crent_550
B25056_014,$600 to $649,CONTRACT RENT,crent_600
B25056_015,$650 to $699,CONTRACT RENT,crent_650
B25056_016,$700 to $749,CONTRACT RENT,crent_700
B25056_017,$750 to $799,CONTRACT RENT,crent_750
B25056_018,$800 to $899,CONTRACT RENT,crent_800
B25056_019,$900 to $999,CONTRACT RENT,crent_900
B25056_020,"$1,000 to $1,249",CONTRACT RENT,crent_1k
B25056_021,"$1,250 to $1,499",CONTRACT RENT,crent_1250
B25056_022,"$1,500 to $1,999",CONTRACT RENT,crent_1500
B25056_023,"$2,000 to $2,499",CONTRACT RENT,crent_2k
B25056_024,"$2,500 to $2,999",CONTRACT RENT,crent_2500
B25056_025,"$3,000 to $3,499",CONTRACT RENT,crent_3k
B25056_026,"$3,500 or more",CONTRACT RENT,crent_3500
B25056_027,No cash rent,CONTRACT RENT,crent_none
