NAME,earn_tot,earn_with,earn_no,passist_tot,passist_with,passist_no,hhinc_tot,hhinc_<10,hhinc_10-15,hhinc_15-20,hhinc_20-25,hhinc_25-30,hhinc_30-35,hhinc_35-40,hhinc_40-45,hhinc_45-50,hhinc_50-60,hhinc_60-75,hhinc_75-100,hhinc_100-125,hhinc_125-150,hhinc_150-200,hhinc_>200,hhinc_med,hhinc_fam,occ_tot,occ_occ,occ_vac,mort_tot,mort_debt,mort_secloan,mort_sec,mort_heq,mort_both,mort_no2,mort_none,emp_tot,emp_in,emp_civ,emp_emp,emp_un,emp_arm,emp_no,state,county,tract,block group,GEOID
"Block Group 1, Census Tract 24, Jackson County, Oregon",390,281,109,390,18,372,390,0,5,35,18,43,7,16,10,10,22,54,46,51,50,0,23,71357,83984,432,390,42,339,163,19,5,14,0,144,176,915,525,525,485,40,0,390,41,029,002400,1,410290024001
"Block Group 1, Census Tract 9508, Lincoln County, Oregon",667,437,230,667,98,569,667,61,35,0,23,35,25,14,14,17,51,73,103,22,120,35,39,69528,88669,1290,667,623,514,307,86,4,82,0,221,207,1294,673,673,608,65,0,621,41,041,950800,1,410419508001
"Block Group 2, Census Tract 9508, Lincoln County, Oregon",935,406,529,935,200,735,935,45,72,50,132,94,68,83,32,35,95,105,65,31,28,0,0,35774,38500,1017,935,82,508,192,28,10,18,0,164,316,1566,636,636,584,52,0,930,41,041,950800,2,410419508002
"Block Group 1, Census Tract 9514, Lincoln County, Oregon",670,511,159,670,159,511,670,24,18,76,10,0,13,7,16,64,72,131,41,73,57,23,45,61122,62260,713,670,43,509,297,0,0,0,0,297,212,1592,865,865,752,113,0,727,41,041,951400,1,410419514001
"Block Group 2, Census Tract 9514, Lincoln County, Oregon",549,379,170,549,207,342,549,49,30,66,25,13,23,54,0,13,13,114,87,35,0,7,20,52788,62539,648,549,99,294,219,0,0,0,0,219,75,1023,515,515,492,23,0,508,41,041,951400,2,410419514002
"Block Group 2, Census Tract 27, Jackson County, Oregon",644,420,224,644,65,579,644,0,0,28,41,16,11,27,0,0,32,125,106,99,71,51,37,82898,83551,644,644,0,542,369,92,44,48,0,277,173,1642,803,803,712,91,0,839,41,029,002700,2,410290027002
"Block Group 3, Census Tract 27, Jackson County, Oregon",1401,694,707,1401,226,1175,1401,29,180,124,81,124,47,94,69,34,104,215,49,88,97,15,51,40960,53104,1596,1401,195,1110,404,72,56,16,0,332,706,2601,1100,1100,1039,61,0,1501,41,029,002700,3,410290027003
"Block Group 1, Census Tract 27, Jackson County, Oregon",418,345,73,418,55,363,418,61,0,0,15,0,93,0,14,28,86,17,12,30,15,47,0,47321,51500,435,418,17,295,185,44,0,44,0,141,110,865,460,460,437,23,0,405,41,029,002700,1,410290027001
"Block Group 4, Census Tract 27, Jackson County, Oregon",711,506,205,711,206,505,711,111,0,29,24,81,65,3,87,0,33,52,95,44,53,34,0,41518,60391,835,711,124,513,373,23,0,23,0,350,140,1325,669,669,597,72,0,656,41,029,002700,4,410290027004
"Block Group 3, Census Tract 11, Jackson County, Oregon",427,322,105,427,54,373,427,30,0,0,0,55,48,16,18,17,12,60,158,0,0,0,13,70272,72174,465,427,38,357,241,23,23,0,0,218,116,952,541,541,541,0,0,411,41,029,001100,3,410290011003
"Block Group 2, Census Tract 11, Jackson County, Oregon",1137,939,198,1137,161,976,1137,31,0,14,75,56,39,65,65,47,125,68,205,0,202,101,44,73125,87520,1231,1137,94,970,685,108,18,90,0,577,285,2428,1474,1458,1458,0,16,954,41,029,001100,2,410290011002
"Block Group 1, Census Tract 11, Jackson County, Oregon",521,288,233,521,123,398,521,58,30,44,33,11,0,0,0,28,83,70,75,52,0,18,19,52047,63542,521,521,0,452,242,57,22,35,0,185,210,1052,428,428,414,14,0,624,41,029,001100,1,410290011001
"Block Group 1, Census Tract 13.01, Jackson County, Oregon",515,442,73,515,135,380,515,0,0,56,8,9,27,42,0,37,64,117,93,0,0,42,20,61343,62619,515,515,0,396,305,8,0,8,0,297,91,1298,929,929,847,82,0,369,41,029,001301,1,410290013011
"Block Group 3, Census Tract 13.01, Jackson County, Oregon",308,246,62,308,67,241,308,7,13,23,0,0,0,0,21,18,56,31,31,64,10,23,11,66875,81750,333,308,25,235,207,27,11,16,0,180,28,698,525,525,525,0,0,173,41,029,001301,3,410290013013
