NAME,total population,total race,white,black,american indian or alaska native,asian,native hawaiian or pacific islander,other,two or more races,two races including other race,two races excluding other race or three or more races,total tenure,owner occupied,renter occupied,total educ attain,none,nursery,kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,12th grade no diploma,Regular high school diploma,GED or alternative credential,Some college <1 year,Some college 1+ years no degree,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,state,county,tract,block group,GEOID
"Block Group 1, Census Tract 24, Jackson County, Oregon",1014,1014,979,3,0,16,0,16,0,0,0,390,339,51,784,0,0,0,0,0,6,4,0,15,0,0,0,4,0,20,106,0,58,222,40,186,71,47,5,41,029,002400,1,410290024001
"Block Group 1, Census Tract 9508, Lincoln County, Oregon",1547,1547,1343,109,9,4,0,19,63,0,63,667,514,153,1256,0,0,0,0,0,0,0,0,0,0,15,0,0,0,33,224,66,113,242,249,182,124,8,0,41,041,950800,1,410419508001
"Block Group 2, Census Tract 9508, Lincoln County, Oregon",1775,1775,1576,12,74,34,0,0,79,0,79,935,508,427,1431,9,0,0,0,0,0,0,0,0,0,9,0,40,0,6,344,80,173,246,194,318,12,0,0,41,041,950800,2,410419508002
"Block Group 1, Census Tract 9514, Lincoln County, Oregon",2183,2183,2021,0,0,0,0,0,162,0,162,670,509,161,1395,0,0,0,0,0,0,0,0,0,0,9,19,0,50,16,419,87,99,318,81,176,91,16,14,41,041,951400,1,410419514001
"Block Group 2, Census Tract 9514, Lincoln County, Oregon",1223,1223,1120,0,46,0,44,0,13,13,0,549,294,255,905,11,0,0,0,0,0,0,0,0,0,0,0,38,19,57,198,108,129,82,76,77,86,24,0,41,041,951400,2,410419514002
"Block Group 2, Census Tract 27, Jackson County, Oregon",1768,1768,1707,0,0,0,0,34,27,0,27,644,542,102,1354,32,0,0,0,0,0,0,0,0,0,0,0,16,0,0,408,14,95,193,121,299,113,63,0,41,029,002700,2,410290027002
"Block Group 3, Census Tract 27, Jackson County, Oregon",2884,2884,2774,46,0,0,0,14,50,0,50,1401,1110,291,2399,19,0,0,0,0,0,0,1,0,0,69,16,110,41,101,630,165,139,618,191,161,50,17,71,41,029,002700,3,410290027003
"Block Group 1, Census Tract 27, Jackson County, Oregon",990,990,863,0,23,0,0,86,18,18,0,418,295,123,819,42,0,0,0,0,0,0,0,0,0,0,15,46,16,0,180,82,145,156,37,79,0,0,21,41,029,002700,1,410290027001
"Block Group 4, Census Tract 27, Jackson County, Oregon",1716,1716,1643,0,22,2,0,0,49,0,49,711,513,198,1246,0,0,0,0,0,0,0,0,0,0,4,3,111,52,32,354,27,148,276,86,144,6,3,0,41,029,002700,4,410290027004
"Block Group 3, Census Tract 11, Jackson County, Oregon",1087,1087,1087,0,0,0,0,0,0,0,0,427,357,70,748,0,0,0,0,0,0,0,0,0,0,0,0,0,51,35,225,40,39,145,149,33,16,15,0,41,029,001100,3,410290011003
