NAME,B19051_001E,B19051_002E,B19051_003E,B19058_001E,B19058_002E,B19058_003E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,block group,GEOID
"Block Group 1, Census Tract 24, Jackson County, Oregon",390,281,109,390,18,372,390,0,5,35,18,43,7,16,10,10,22,54,46,51,50,0,23,41,029,002400,1,410290024001
"Block Group 1, Census Tract 9508, Lincoln County, Oregon",667,437,230,667,98,569,667,61,35,0,23,35,25,14,14,17,51,73,103,22,120,35,39,41,041,950800,1,410419508001
"Block Group 2, Census Tract 9508, Lincoln County, Oregon",935,406,529,935,200,735,935,45,72,50,132,94,68,83,32,35,95,105,65,31,28,0,0,41,041,950800,2,410419508002
"Block Group 1, Census Tract 9514, Lincoln County, Oregon",670,511,159,670,159,511,670,24,18,76,10,0,13,7,16,64,72,131,41,73,57,23,45,41,041,951400,1,410419514001
"Block Group 2, Census Tract 9514, Lincoln County, Oregon",549,379,170,549,207,342,549,49,30,66,25,13,23,54,0,13,13,114,87,35,0,7,20,41,041,951400,2,410419514002
"Block Group 2, Census Tract 27, Jackson County, Oregon",644,420,224,644,65,579,644,0,0,28,41,16,11,27,0,0,32,125,106,99,71,51,37,41,029,002700,2,410290027002
"Block Group 3, Census Tract 27, Jackson County, Oregon",1401,694,707,1401,226,1175,1401,29,180,124,81,124,47,94,69,34,104,215,49,88,97,15,51,41,029,002700,3,410290027003
"Block Group 1, Census Tract 27, Jackson County, Oregon",418,345,73,418,55,363,418,61,0,0,15,0,93,0,14,28,86,17,12,30,15,47,0,41,029,002700,1,410290027001
"Block Group 4, Census Tract 27, Jackson County, Oregon",711,506,205,711,206,505,711,111,0,29,24,81,65,3,87,0,33,52,95,44,53,34,0,41,029,002700,4,410290027004
"Block Group 3, Census Tract 11, Jackson County, Oregon",427,322,105,427,54,373,427,30,0,0,0,55,48,16,18,17,12,60,158,0,0,0,13,41,029,001100,3,410290011003
"Block Group 2, Census Tract 11, Jackson County, Oregon",1137,939,198,1137,161,976,1137,31,0,14,75,56,39,65,65,47,125,68,205,0,202,101,44,41,029,001100,2,410290011002
"Block Group 1, Census Tract 11, Jackson County, Oregon",521,288,233,521,123,398,521,58,30,44,33,11,0,0,0,28,83,70,75,52,0,18,19,41,029,001100,1,410290011001
"Block Group 1, Census Tract 13.01, Jackson County, Oregon",515,442,73,515,135,380,515,0,0,56,8,9,27,42,0,37,64,117,93,0,0,42,20,41,029,001301,1,410290013011
"Block Group 3, Census Tract 13.01, Jackson County, Oregon",308,246,62,308,67,241,308,7,13,23,0,0,0,0,21,18,56,31,31,64,10,23,11,41,029,001301,3,410290013013
"Block Group 2, Census Tract 21, Jackson County, Oregon",444,272,172,444,73,371,444,56,36,23,8,27,31,27,0,24,26,44,15,13,61,7,46,41,029,002100,2,410290021002
"Block Group 3, Census Tract 21, Jackson County, Oregon",420,314,106,420,25,395,420,13,14,18,0,8,0,21,8,0,64,37,69,40,18,34,76,41,029,002100,3,410290021003
"Block Group 5, Census Tract 29, Jackson County, Oregon",609,327,282,609,99,510,609,39,23,64,41,76,9,25,64,6,57,101,29,30,21,0,24,41,029,002900,5,410290029005
"Block Group 1, Census Tract 29, Jackson County, Oregon",392,241,151,392,137,255,392,92,33,0,0,33,0,32,17,16,13,36,102,0,0,18,0,41,029,002900,1,410290029001
"Block Group 2, Census Tract 29, Jackson County, Oregon",711,546,165,711,42,669,711,17,14,33,0,0,0,32,18,19,98,152,47,79,49,32,121,41,029,002900,2,410290029002
"Block Group 6, Census Tract 29, Jackson County, Oregon",381,259,122,381,60,321,381,0,17,17,0,32,33,16,17,0,71,58,23,44,25,14,14,41,029,002900,6,410290029006
"Block Group 3, Census Tract 18, Jackson County, Oregon",1119,806,313,1119,140,979,1119,59,113,59,31,22,52,26,50,20,15,191,131,73,81,119,77,41,029,001800,3,410290018003
"Block Group 1, Census Tract 18, Jackson County, Oregon",722,541,181,722,61,661,722,10,51,15,16,0,27,111,8,15,98,110,123,43,37,0,58,41,029,001800,1,410290018001
"Block Group 2, Census Tract 18, Jackson County, Oregon",1153,690,463,1153,113,1040,1153,79,31,11,50,101,0,17,47,16,111,173,227,104,77,57,52,41,029,001800,2,410290018002
