NAME,hhlang_tot,hhlang_eng,hhlang_sp,hhlang_slim,hhlang_snot,hhlang_indeu,hhlang_inlim,hhlang_inno,hhlang_as,hhlang_asli,hhlang_asno,hhlang_oth,hhlang_limo,hhlang_noli,grent_tot,grent_wi,grent<100,grent_100,grent_150,grent_200,grent_250,grent_300,grent_350,grent_400,grent_450,grent_500,grent_550,grent_600,grent_650,grent_700,grent_750,grent_800,grent_900,grent_1k,grent_1250,grent_1500,grent_2k,grent_2500,grent_3k,grent_3500,grent_none,agve_com,agve_male,agve_fem,state,county,tract,block group,GEOID
"Block Group 1, Census Tract 24, Jackson County, Oregon",390,345,28,7,21,11,0,11,6,6,0,0,0,0,51,51,0,5,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,34,0,0,0,0,0,,,,41,029,002400,1,410290024001
"Block Group 1, Census Tract 9508, Lincoln County, Oregon",667,626,29,0,29,12,0,12,0,0,0,0,0,0,153,153,0,0,0,15,0,0,0,9,0,0,0,0,13,0,9,17,11,63,10,0,6,0,0,0,0,,,,41,041,950800,1,410419508001
"Block Group 2, Census Tract 9508, Lincoln County, Oregon",935,884,28,0,28,16,0,16,7,0,7,0,0,0,427,410,0,24,31,46,8,0,0,0,0,3,0,28,0,0,41,98,22,69,7,24,0,0,0,9,17,,,,41,041,950800,2,410419508002
"Block Group 1, Census Tract 9514, Lincoln County, Oregon",670,660,10,0,10,0,0,0,0,0,0,0,0,0,161,149,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,13,37,7,35,25,0,0,0,0,12,,,,41,041,951400,1,410419514001
"Block Group 2, Census Tract 9514, Lincoln County, Oregon",549,540,9,0,9,0,0,0,0,0,0,0,0,0,255,243,0,0,0,11,0,24,0,0,0,0,0,0,0,20,31,11,76,61,0,9,0,0,0,0,12,,,,41,041,951400,2,410419514002
"Block Group 2, Census Tract 27, Jackson County, Oregon",644,560,43,0,43,41,0,41,0,0,0,0,0,0,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,15,16,0,0,0,0,0,0,,,,41,029,002700,2,410290027002
"Block Group 3, Census Tract 27, Jackson County, Oregon",1401,1306,95,0,95,0,0,0,0,0,0,0,0,0,291,269,0,0,0,0,0,0,15,0,0,0,0,12,0,15,16,17,18,18,121,37,0,0,0,0,22,,,,41,029,002700,3,410290027003
"Block Group 1, Census Tract 27, Jackson County, Oregon",418,418,0,0,0,0,0,0,0,0,0,0,0,0,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,46,0,49,0,0,0,0,0,,,,41,029,002700,1,410290027001
"Block Group 4, Census Tract 27, Jackson County, Oregon",711,698,3,3,0,7,0,7,0,0,0,3,0,3,198,178,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0,0,42,71,0,20,0,0,17,0,20,,,,41,029,002700,4,410290027004
"Block Group 3, Census Tract 11, Jackson County, Oregon",427,427,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,29,22,0,0,0,0,0,0,,,,41,029,001100,3,410290011003
