NAME,crent_tot,crent_cash,crent<100,crent_100,crent_150,crent_200,crent_250,crent_300,crent_350,crent_400,crent_450,crent_500,crent_550,crent_600,crent_650,crent_700,crent_750,crent_800,crent_900,crent_1k,crent_1250,crent_1500,crent_2k,crent_2500,crent_3k,crent_3500,crent_none,moho_tot,moho<100,moho_100,moho_200,moho_300,moho_400,moho_500,moho_600,moho_700,moho_800,moho_900,moho_1k,moho_1500,moho_2k,moho_2500,moho_3k,moho_no,med_moho,state,county,tract,block group,GEOID
"Block Group 1, Census Tract 24, Jackson County, Oregon",51,51,5,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,14,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,002400,1,410290024001
"Block Group 1, Census Tract 9508, Lincoln County, Oregon",153,153,0,0,15,0,0,0,9,0,13,0,0,0,9,12,0,15,28,46,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,041,950800,1,410419508001
"Block Group 2, Census Tract 9508, Lincoln County, Oregon",427,410,32,0,62,15,0,0,0,3,19,9,0,0,0,41,53,76,42,25,0,24,0,0,0,9,17,,,,,,,,,,,,,,,,,,,41,041,950800,2,410419508002
"Block Group 1, Census Tract 9514, Lincoln County, Oregon",161,149,32,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37,0,42,14,11,0,0,0,0,12,,,,,,,,,,,,,,,,,,,41,041,951400,1,410419514001
"Block Group 2, Census Tract 9514, Lincoln County, Oregon",255,243,0,0,11,0,24,0,0,0,0,0,0,0,65,18,25,53,38,9,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,41,041,951400,2,410419514002
"Block Group 2, Census Tract 27, Jackson County, Oregon",102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,16,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,002700,2,410290027002
"Block Group 3, Census Tract 27, Jackson County, Oregon",291,269,0,0,0,0,0,0,15,12,0,0,0,16,0,32,18,0,18,85,36,37,0,0,0,0,22,,,,,,,,,,,,,,,,,,,41,029,002700,3,410290027003
"Block Group 1, Census Tract 27, Jackson County, Oregon",123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,29,17,0,0,49,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,002700,1,410290027001
"Block Group 4, Census Tract 27, Jackson County, Oregon",198,178,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,62,51,0,16,4,0,17,0,0,20,,,,,,,,,,,,,,,,,,,41,029,002700,4,410290027004
"Block Group 3, Census Tract 11, Jackson County, Oregon",70,70,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,29,0,22,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,001100,3,410290011003
"Block Group 2, Census Tract 11, Jackson County, Oregon",167,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,17,37,57,0,0,0,0,18,,,,,,,,,,,,,,,,,,,41,029,001100,2,410290011002
"Block Group 1, Census Tract 11, Jackson County, Oregon",69,69,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,49,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,001100,1,410290011001
"Block Group 1, Census Tract 13.01, Jackson County, Oregon",119,119,0,0,0,0,56,0,0,12,0,14,0,0,0,9,0,9,7,6,0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,41,029,001301,1,410290013011
"Block Group 3, Census Tract 13.01, Jackson County, Oregon",73,73,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,43,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,001301,3,410290013013
"Block Group 2, Census Tract 21, Jackson County, Oregon",279,244,0,0,0,0,0,0,0,0,0,0,0,21,12,28,8,6,24,62,63,20,0,0,0,0,35,,,,,,,,,,,,,,,,,,,41,029,002100,2,410290021002
"Block Group 3, Census Tract 21, Jackson County, Oregon",143,143,0,0,0,0,0,9,0,0,7,0,0,8,0,16,0,0,22,0,8,48,25,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,002100,3,410290021003
"Block Group 5, Census Tract 29, Jackson County, Oregon",212,206,0,0,0,0,0,0,0,16,0,0,6,21,53,5,0,44,0,38,23,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,41,029,002900,5,410290029005
"Block Group 1, Census Tract 29, Jackson County, Oregon",148,56,0,0,0,0,0,0,15,0,13,0,10,0,0,0,0,18,0,0,0,0,0,0,0,0,92,,,,,,,,,,,,,,,,,,,41,029,002900,1,410290029001
"Block Group 2, Census Tract 29, Jackson County, Oregon",98,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,4,0,0,0,50,,,,,,,,,,,,,,,,,,,41,029,002900,2,410290029002
"Block Group 6, Census Tract 29, Jackson County, Oregon",111,97,0,0,0,0,0,18,0,0,0,0,17,0,0,0,0,0,18,0,44,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,41,029,002900,6,410290029006
"Block Group 3, Census Tract 18, Jackson County, Oregon",288,242,0,0,0,0,0,14,0,0,0,0,0,49,15,0,0,14,0,36,61,53,0,0,0,0,46,,,,,,,,,,,,,,,,,,,41,029,001800,3,410290018003
"Block Group 1, Census Tract 18, Jackson County, Oregon",234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,48,13,0,0,115,22,0,0,36,0,0,0,,,,,,,,,,,,,,,,,,,41,029,001800,1,410290018001
"Block Group 2, Census Tract 18, Jackson County, Oregon",255,255,0,0,0,0,0,0,0,0,33,0,0,0,19,0,0,0,0,42,89,72,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,001800,2,410290018002
"Block Group 2, Census Tract 20, Jackson County, Oregon",298,289,0,0,0,0,10,0,0,0,0,22,10,12,0,43,32,40,41,68,0,11,0,0,0,0,9,,,,,,,,,,,,,,,,,,,41,029,002000,2,410290020002
"Block Group 1, Census Tract 28, Jackson County, Oregon",138,55,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,0,17,0,3,0,0,0,0,0,83,,,,,,,,,,,,,,,,,,,41,029,002800,1,410290028001
"Block Group 3, Census Tract 28, Jackson County, Oregon",10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,002800,3,410290028003
"Block Group 1, Census Tract 8, Jackson County, Oregon",639,622,0,0,0,0,0,0,0,79,0,82,0,24,53,0,66,59,100,44,79,36,0,0,0,0,17,,,,,,,,,,,,,,,,,,,41,029,000800,1,410290008001
"Block Group 1, Census Tract 7, Jackson County, Oregon",248,236,0,0,0,16,0,0,0,0,0,0,0,0,0,79,16,0,0,89,20,16,0,0,0,0,12,,,,,,,,,,,,,,,,,,,41,029,000700,1,410290007001
"Block Group 2, Census Tract 7, Jackson County, Oregon",126,126,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,19,21,32,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,029,000700,2,410290007002
"Block Group 2, Census Tract 500.01, Douglas County, Oregon",204,169,0,0,10,7,0,0,0,69,0,0,0,0,0,0,0,8,0,23,9,43,0,0,0,0,35,,,,,,,,,,,,,,,,,,,41,019,050001,2,410190500012
"Block Group 1, Census Tract 500.01, Douglas County, Oregon",9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,019,050001,1,410190500011
"Block Group 4, Census Tract 500.01, Douglas County, Oregon",25,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,,,,,,,,,,,,,41,019,050001,4,410190500014
"Block Group 1, Census Tract 1800, Douglas County, Oregon",66,66,0,0,0,0,0,0,0,0,0,27,0,0,0,0,30,0,2,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,019,180000,1,410191800001
"Block Group 4, Census Tract 1800, Douglas County, Oregon",148,148,0,0,0,0,0,0,0,28,0,12,53,43,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,019,180000,4,410191800004
"Block Group 1, Census Tract 9704, Klamath County, Oregon",114,77,4,0,0,1,0,0,0,22,9,5,4,0,3,6,4,14,0,5,0,0,0,0,0,0,37,,,,,,,,,,,,,,,,,,,41,035,970400,1,410359704001
"Block Group 2, Census Tract 9714, Klamath County, Oregon",178,178,0,0,0,0,0,0,0,0,0,0,0,34,20,61,0,13,33,17,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,035,971400,2,410359714002
"Block Group 3, Census Tract 9714, Klamath County, Oregon",66,66,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,46,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,035,971400,3,410359714003
"Block Group 4, Census Tract 9715, Klamath County, Oregon",213,213,0,0,0,11,0,0,34,0,0,30,28,17,11,17,20,0,0,45,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,035,971500,4,410359715004
"Block Group 1, Census Tract 9715, Klamath County, Oregon",106,106,0,0,0,0,0,0,0,9,0,24,0,0,0,53,0,0,20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,035,971500,1,410359715001
"Block Group 5, Census Tract 9715, Klamath County, Oregon",178,178,0,0,0,0,0,27,17,34,0,35,12,0,0,0,7,13,7,0,26,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,41,035,971500,5,410359715005
"Block Group 2, Census Tract 9715, Klamath County, Oregon",184,136,5,17,0,0,0,0,10,0,12,9,8,34,0,0,32,0,9,0,0,0,0,0,0,0,48,,,,,,,,,,,,,,,,,,,41,035,971500,2,410359715002
"Block Group 3, Census Tract 9718, Klamath County, Oregon",335,305,0,0,0,29,10,9,18,15,22,28,64,71,0,0,0,0,23,0,16,0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,41,035,971800,3,410359718003
"Block Group 1, Census Tract 9504, Lincoln County, Oregon",451,397,0,0,9,0,0,0,0,21,23,24,0,9,20,0,13,101,50,109,0,18,0,0,0,0,54,,,,,,,,,,,,,,,,,,,41,041,950400,1,410419504001
