NAME,tran_tot,tran_veh,tran_alone,tran_pool,tran_2-pe,tran_3-pe,tran_4-pe,tran_5- pe,tran_7-pe,tran_pub,tran_bus,tran_rail,tran_lrail,tran_trol,tran_boat,tran_cab,tran_mot,tran_bic,tran_walk,tran_oth,tran_home,state,county,tract,block group,GEOID
"Block Group 1, Census Tract 24, Jackson County, Oregon",475,422,365,57,45,0,0,12,0,15,15,0,0,0,0,0,0,0,0,0,38,41,029,002400,1,410290024001
"Block Group 1, Census Tract 9508, Lincoln County, Oregon",601,499,416,83,71,12,0,0,0,0,0,0,0,0,0,5,0,14,6,0,77,41,041,950800,1,410419508001
"Block Group 2, Census Tract 9508, Lincoln County, Oregon",584,551,385,166,166,0,0,0,0,3,3,0,0,0,0,0,0,0,24,0,6,41,041,950800,2,410419508002
"Block Group 1, Census Tract 9514, Lincoln County, Oregon",752,656,629,27,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,86,41,041,951400,1,410419514001
"Block Group 2, Census Tract 9514, Lincoln County, Oregon",492,447,411,36,36,0,0,0,0,12,12,0,0,0,0,0,11,0,0,0,22,41,041,951400,2,410419514002
"Block Group 2, Census Tract 27, Jackson County, Oregon",712,563,536,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,115,41,029,002700,2,410290027002
"Block Group 3, Census Tract 27, Jackson County, Oregon",998,845,661,184,73,111,0,0,0,17,17,0,0,0,0,0,0,18,0,0,118,41,029,002700,3,410290027003
"Block Group 1, Census Tract 27, Jackson County, Oregon",437,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,24,41,029,002700,1,410290027001
"Block Group 4, Census Tract 27, Jackson County, Oregon",597,480,410,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,95,41,029,002700,4,410290027004
"Block Group 3, Census Tract 11, Jackson County, Oregon",541,490,428,62,24,38,0,0,0,0,0,0,0,0,0,0,0,0,13,0,38,41,029,001100,3,410290011003
"Block Group 2, Census Tract 11, Jackson County, Oregon",1474,1325,1203,122,100,22,0,0,0,0,0,0,0,0,0,0,0,20,45,0,84,41,029,001100,2,410290011002
"Block Group 1, Census Tract 11, Jackson County, Oregon",414,394,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,029,001100,1,410290011001
"Block Group 1, Census Tract 13.01, Jackson County, Oregon",739,710,658,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,17,41,029,001301,1,410290013011
"Block Group 3, Census Tract 13.01, Jackson County, Oregon",483,401,363,38,28,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,77,41,029,001301,3,410290013013
"Block Group 2, Census Tract 21, Jackson County, Oregon",308,173,157,16,0,0,0,0,16,44,44,0,0,0,0,0,0,17,31,0,43,41,029,002100,2,410290021002
"Block Group 3, Census Tract 21, Jackson County, Oregon",328,219,134,85,63,13,9,0,0,0,0,0,0,0,0,0,0,49,19,0,41,41,029,002100,3,410290021003
"Block Group 5, Census Tract 29, Jackson County, Oregon",472,463,418,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,029,002900,5,410290029005
"Block Group 1, Census Tract 29, Jackson County, Oregon",317,300,190,110,100,10,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,41,029,002900,1,410290029001
"Block Group 2, Census Tract 29, Jackson County, Oregon",816,692,630,62,60,2,0,0,0,43,43,0,0,0,0,0,0,0,0,0,81,41,029,002900,2,410290029002
"Block Group 6, Census Tract 29, Jackson County, Oregon",323,323,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,029,002900,6,410290029006
"Block Group 3, Census Tract 18, Jackson County, Oregon",1201,946,851,95,76,19,0,0,0,0,0,0,0,0,0,0,0,22,16,0,217,41,029,001800,3,410290018003
"Block Group 1, Census Tract 18, Jackson County, Oregon",664,448,440,8,0,0,8,0,0,0,0,0,0,0,0,0,0,35,0,0,181,41,029,001800,1,410290018001
"Block Group 2, Census Tract 18, Jackson County, Oregon",996,744,651,93,64,29,0,0,0,62,62,0,0,0,0,0,0,26,65,0,99,41,029,001800,2,410290018002
"Block Group 2, Census Tract 20, Jackson County, Oregon",436,241,233,8,0,8,0,0,0,14,14,0,0,0,0,0,0,19,145,0,17,41,029,002000,2,410290020002
"Block Group 1, Census Tract 28, Jackson County, Oregon",728,626,524,102,85,17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,93,41,029,002800,1,410290028001
"Block Group 3, Census Tract 28, Jackson County, Oregon",209,191,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,029,002800,3,410290028003
"Block Group 1, Census Tract 8, Jackson County, Oregon",1645,1424,1373,51,40,11,0,0,0,0,0,0,0,0,0,0,0,69,41,0,111,41,029,000800,1,410290008001
"Block Group 1, Census Tract 7, Jackson County, Oregon",846,771,545,226,226,0,0,0,0,58,58,0,0,0,0,0,0,0,0,0,17,41,029,000700,1,410290007001
"Block Group 2, Census Tract 7, Jackson County, Oregon",1289,1002,969,33,30,3,0,0,0,0,0,0,0,0,0,0,0,19,83,30,155,41,029,000700,2,410290007002
"Block Group 2, Census Tract 500.01, Douglas County, Oregon",472,435,423,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,8,41,019,050001,2,410190500012
"Block Group 1, Census Tract 500.01, Douglas County, Oregon",357,357,263,94,73,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,019,050001,1,410190500011
"Block Group 4, Census Tract 500.01, Douglas County, Oregon",369,360,279,81,9,34,38,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,019,050001,4,410190500014
"Block Group 1, Census Tract 1800, Douglas County, Oregon",478,460,412,48,40,0,0,8,0,0,0,0,0,0,0,0,0,0,0,17,1,41,019,180000,1,410191800001
"Block Group 4, Census Tract 1800, Douglas County, Oregon",310,310,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,019,180000,4,410191800004
"Block Group 1, Census Tract 9704, Klamath County, Oregon",488,399,393,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,71,41,035,970400,1,410359704001
"Block Group 2, Census Tract 9714, Klamath County, Oregon",413,382,307,75,22,0,0,24,29,0,0,0,0,0,0,0,0,0,31,0,0,41,035,971400,2,410359714002
"Block Group 3, Census Tract 9714, Klamath County, Oregon",254,254,241,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,035,971400,3,410359714003
"Block Group 4, Census Tract 9715, Klamath County, Oregon",337,326,238,88,36,52,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,41,035,971500,4,410359715004
"Block Group 1, Census Tract 9715, Klamath County, Oregon",202,202,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,035,971500,1,410359715001
"Block Group 5, Census Tract 9715, Klamath County, Oregon",362,349,335,14,14,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,41,035,971500,5,410359715005
"Block Group 2, Census Tract 9715, Klamath County, Oregon",293,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,41,035,971500,2,410359715002
"Block Group 3, Census Tract 9718, Klamath County, Oregon",318,206,161,45,45,0,0,0,0,0,0,0,0,0,0,10,0,9,11,0,82,41,035,971800,3,410359718003
"Block Group 1, Census Tract 9504, Lincoln County, Oregon",765,533,416,117,117,0,0,0,0,0,0,0,0,0,0,55,0,0,65,60,52,41,041,950400,1,410419504001
"Block Group 3, Census Tract 30.02, Jackson County, Oregon",721,458,358,100,77,23,0,0,0,0,0,0,0,0,0,0,33,0,38,0,192,41,029,003002,3,410290030023
"Block Group 1, Census Tract 9501, Lincoln County, Oregon",809,775,685,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41,041,950100,1,410419501001
"Block Group 2, Census Tract 9501, Lincoln County, Oregon",377,370,284,86,23,52,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,41,041,950100,2,410419501002
"Block Group 1, Census Tract 9511, Lincoln County, Oregon",474,402,375,27,27,0,0,0,0,0,0,0,0,0,0,0,0,5,47,0,20,41,041,951100,1,410419511001
"Block Group 2, Census Tract 9511, Lincoln County, Oregon",360,274,224,50,50,0,0,0,0,5,5,0,0,0,0,0,0,4,9,26,42,41,041,951100,2,410419511002
"Block Group 1, Census Tract 9516, Lincoln County, Oregon",576,537,447,90,70,20,0,0,0,0,0,0,0,0,0,0,0,0,13,9,17,41,041,951600,1,410419516001
"Block Group 3, Census Tract 9516, Lincoln County, Oregon",303,270,206,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,41,041,951600,3,410419516003
"Block Group 2, Census Tract 9516, Lincoln County, Oregon",282,241,180,61,55,6,0,0,0,0,0,0,0,0,0,0,0,0,36,0,5,41,041,951600,2,410419516002
"Block Group 1, Census Tract 9509, Lincoln County, Oregon",375,334,220,114,0,114,0,0,0,0,0,0,0,0,0,0,0,0,17,15,9,41,041,950900,1,410419509001
"Block Group 3, Census Tract 9509, Lincoln County, Oregon",507,454,346,108,101,7,0,0,0,0,0,0,0,0,0,0,0,0,28,0,25,41,041,950900,3,410419509003
"Block Group 2, Census Tract 9509, Lincoln County, Oregon",489,451,395,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0,41,041,950900,2,410419509002
"Block Group 4, Census Tract 9509, Lincoln County, Oregon",286,175,136,39,39,0,0,0,0,46,46,0,0,0,0,0,0,14,51,0,0,41,041,950900,4,410419509004
"Block Group 2, Census Tract 9512, Lincoln County, Oregon",396,289,212,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,86,41,041,951200,2,410419512002
"Block Group 1, Census Tract 28, Marion County, Oregon",705,616,580,36,11,25,0,0,0,13,0,0,0,0,13,0,0,0,10,0,66,41,047,002800,1,410470028001
"Block Group 2, Census Tract 28, Marion County, Oregon",1331,1074,994,80,62,18,0,0,0,39,39,0,0,0,0,0,0,18,78,47,75,41,047,002800,2,410470028002
"Block Group 2, Census Tract 101, Marion County, Oregon",365,281,263,18,10,8,0,0,0,28,28,0,0,0,0,0,0,0,19,0,37,41,047,010100,2,410470101002
"Block Group 1, Census Tract 106, Marion County, Oregon",76,57,53,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,41,047,010600,1,410470106001
"Block Group 2, Census Tract 222.01, Clackamas County, Oregon",1248,1031,889,142,142,0,0,0,0,64,19,0,45,0,0,0,0,14,46,0,93,41,005,022201,2,410050222012
"Block Group 1, Census Tract 222.01, Clackamas County, Oregon",227,165,165,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,30,0,15,41,005,022201,1,410050222011
"Block Group 2, Census Tract 235, Clackamas County, Oregon",1020,964,925,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,35,41,005,023500,2,410050235002
"Block Group 5, Census Tract 235, Clackamas County, Oregon",796,796,727,69,33,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,41,005,023500,5,410050235005
"Block Group 1, Census Tract 235, Clackamas County, Oregon",580,496,496,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,20,0,58,41,005,023500,1,410050235001
"Block Group 1, Census Tract 238, Clackamas County, Oregon",829,797,752,45,29,16,0,0,0,16,16,0,0,0,0,0,0,0,0,0,16,41,005,023800,1,410050238001
"Block Group 3, Census Tract 238, Clackamas County, Oregon",252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,005,023800,3,410050238003
"Block Group 5, Census Tract 238, Clackamas County, Oregon",518,450,355,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,26,41,005,023800,5,410050238005
"Block Group 2, Census Tract 216.01, Clackamas County, Oregon",1638,1308,1220,88,88,0,0,0,0,168,85,63,0,20,0,23,0,0,86,53,0,41,005,021601,2,410050216012
"Block Group 3, Census Tract 216.01, Clackamas County, Oregon",677,610,483,127,24,0,103,0,0,20,20,0,0,0,0,0,0,24,0,0,23,41,005,021601,3,410050216013
"Block Group 3, Census Tract 9701, Klamath County, Oregon",178,154,141,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,41,035,970100,3,410359701003
"Block Group 1, Census Tract 9701, Klamath County, Oregon",322,239,231,8,0,8,0,0,0,26,26,0,0,0,0,0,0,0,0,21,36,41,035,970100,1,410359701001
"Block Group 2, Census Tract 30.02, Jackson County, Oregon",481,283,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,173,41,029,003002,2,410290030022
"Block Group 1, Census Tract 25, Jackson County, Oregon",483,418,375,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,41,029,002500,1,410290025001
"Block Group 2, Census Tract 25, Jackson County, Oregon",260,195,187,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,52,41,029,002500,2,410290025002
"Block Group 2, Census Tract 9, Jackson County, Oregon",1309,1207,1036,171,153,18,0,0,0,0,0,0,0,0,0,0,0,11,11,38,42,41,029,000900,2,410290009002
"Block Group 1, Census Tract 9, Jackson County, Oregon",516,383,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,41,029,000900,1,410290009001
"Block Group 1, Census Tract 14, Jackson County, Oregon",1756,1683,1554,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,41,029,001400,1,410290014001
"Block Group 2, Census Tract 23, Jackson County, Oregon",371,296,275,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,48,41,029,002300,2,410290023002
"Block Group 1, Census Tract 2.01, Jackson County, Oregon",510,403,383,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,14,0,93,41,029,000201,1,410290002011
"Block Group 3, Census Tract 2.01, Jackson County, Oregon",594,519,439,80,80,0,0,0,0,25,25,0,0,0,0,0,0,43,0,0,7,41,029,000201,3,410290002013
"Block Group 1, Census Tract 15, Jackson County, Oregon",550,481,448,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,16,0,53,41,029,001500,1,410290015001
"Block Group 2, Census Tract 15, Jackson County, Oregon",604,484,482,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,100,41,029,001500,2,410290015002
"Block Group 2, Census Tract 24, Jackson County, Oregon",332,261,237,24,7,0,0,17,0,0,0,0,0,0,0,0,0,13,13,0,45,41,029,002400,2,410290024002
"Block Group 1, Census Tract 9505, Umatilla County, Oregon",784,774,642,132,119,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,41,059,950500,1,410599505001
"Block Group 2, Census Tract 9505, Umatilla County, Oregon",707,626,608,18,12,6,0,0,0,0,0,0,0,0,0,0,0,0,34,0,47,41,059,950500,2,410599505002
"Block Group 3, Census Tract 9505, Umatilla County, Oregon",136,116,101,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,059,950500,3,410599505003
"Block Group 2, Census Tract 9507, Umatilla County, Oregon",315,307,273,34,34,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,41,059,950700,2,410599507002
"Block Group 1, Census Tract 9507, Umatilla County, Oregon",517,448,382,66,27,39,0,0,0,0,0,0,0,0,0,0,0,53,0,0,16,41,059,950700,1,410599507001
"Block Group 3, Census Tract 9507, Umatilla County, Oregon",410,345,294,51,34,17,0,0,0,0,0,0,0,0,0,0,0,0,42,10,13,41,059,950700,3,410599507003
"Block Group 2, Census Tract 9509, Umatilla County, Oregon",494,494,437,57,49,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,059,950900,2,410599509002
"Block Group 3, Census Tract 9509, Umatilla County, Oregon",1166,1155,1121,34,19,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41,059,950900,3,410599509003
"Block Group 1, Census Tract 9509, Umatilla County, Oregon",499,462,404,58,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,41,059,950900,1,410599509001
"Block Group 1, Census Tract 9502, Umatilla County, Oregon",499,451,441,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,0,41,059,950200,1,410599502001
"Block Group 3, Census Tract 9502, Umatilla County, Oregon",725,687,605,82,39,43,0,0,0,0,0,0,0,0,0,0,0,18,0,14,6,41,059,950200,3,410599502003
"Block Group 5, Census Tract 9502, Umatilla County, Oregon",523,457,444,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,23,41,059,950200,5,410599502005
"Block Group 4, Census Tract 9502, Umatilla County, Oregon",331,331,295,36,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,059,950200,4,410599502004
"Block Group 2, Census Tract 9502, Umatilla County, Oregon",644,605,431,174,147,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,059,950200,2,410599502002
"Block Group 6, Census Tract 9502, Umatilla County, Oregon",101,101,81,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,059,950200,6,410599502006
"Block Group 1, Census Tract 9514, Umatilla County, Oregon",613,553,491,62,30,32,0,0,0,2,2,0,0,0,0,0,0,0,24,0,34,41,059,951400,1,410599514001
"Block Group 2, Census Tract 108.02, Marion County, Oregon",640,583,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,14,41,047,010802,2,410470108022
"Block Group 4, Census Tract 108.02, Marion County, Oregon",1218,1116,957,159,140,4,5,4,6,0,0,0,0,0,0,0,0,10,10,18,64,41,047,010802,4,410470108024
"Block Group 4, Census Tract 18.01, Marion County, Oregon",785,735,448,287,136,0,15,136,0,36,36,0,0,0,0,0,0,0,0,0,14,41,047,001801,4,410470018014
"Block Group 3, Census Tract 18.01, Marion County, Oregon",568,525,413,112,96,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,43,41,047,001801,3,410470018013
"Block Group 2, Census Tract 18.01, Marion County, Oregon",801,772,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,41,047,001801,2,410470018012
"Block Group 1, Census Tract 228, Clackamas County, Oregon",392,309,241,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,52,41,005,022800,1,410050228001
"Block Group 3, Census Tract 228, Clackamas County, Oregon",326,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,005,022800,3,410050228003
"Block Group 2, Census Tract 232.02, Clackamas County, Oregon",851,710,710,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,130,41,005,023202,2,410050232022
"Block Group 2, Census Tract 302.02, Yamhill County, Oregon",408,323,311,12,12,0,0,0,0,0,0,0,0,0,0,0,0,48,11,0,26,41,071,030202,2,410710302022
"Block Group 1, Census Tract 302.02, Yamhill County, Oregon",1340,1315,1011,304,232,72,0,0,0,6,6,0,0,0,0,0,0,0,2,0,17,41,071,030202,1,410710302021
"Block Group 2, Census Tract 9503, Baker County, Oregon",405,375,367,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,26,41,001,950300,2,410019503002
"Block Group 3, Census Tract 9503, Baker County, Oregon",138,93,68,25,19,4,0,2,0,0,0,0,0,0,0,0,0,0,18,20,7,41,001,950300,3,410019503003
"Block Group 3, Census Tract 9501, Baker County, Oregon",488,456,381,75,52,17,0,6,0,0,0,0,0,0,0,0,0,0,0,23,9,41,001,950100,3,410019501003
