grid_point,hhinc_low,x,y
0,307,7369621.0722,564893.7969
1,307,7369621.0722,554333.7969
2,307,7369621.0722,543773.7969
3,307,7369621.0722,533213.7969
4,307,7380181.0722,564893.7969
5,307,7380181.0722,554333.7969
6,307,7380181.0722,543773.7969
7,307,7380181.0722,533213.7969
8,234,7380181.0722,522653.79689999996
9,307,7390741.0722,564893.7969
10,307,7390741.0722,554333.7969
11,307,7390741.0722,543773.7969
12,307,7390741.0722,533213.7969
13,234,7390741.0722,522653.79689999996
14,234,7390741.0722,512093.79689999996
15,307,7401301.0722,564893.7969
16,307,7401301.0722,554333.7969
17,307,7401301.0722,543773.7969
18,307,7401301.0722,533213.7969
19,234,7401301.0722,522653.79689999996
20,234,7401301.0722,512093.79689999996
21,234,7401301.0722,501533.79689999996
22,116,7401301.0722,490973.79689999996
23,307,7411861.0722,575453.7969
24,307,7411861.0722,564893.7969
25,307,7411861.0722,554333.7969
26,307,7411861.0722,543773.7969
27,307,7411861.0722,533213.7969
28,234,7411861.0722,522653.79689999996
29,234,7411861.0722,512093.79689999996
30,234,7411861.0722,501533.79689999996
31,116,7411861.0722,490973.79689999996
32,307,7422421.0722,575453.7969
33,307,7422421.0722,564893.7969
34,307,7422421.0722,554333.7969
35,307,7422421.0722,543773.7969
36,307,7422421.0722,533213.7969
37,223,7422421.0722,522653.79689999996
38,234,7422421.0722,512093.79689999996
39,234,7422421.0722,501533.79689999996
40,116,7422421.0722,490973.79689999996
41,133,7432981.0722,575453.7969
42,133,7432981.0722,564893.7969
43,133,7432981.0722,554333.7969
44,133,7432981.0722,543773.7969
45,288,7432981.0722,533213.7969
46,223,7432981.0722,522653.79689999996
47,234,7432981.0722,512093.79689999996
48,116,7432981.0722,501533.79689999996
49,116,7432981.0722,490973.79689999996
50,119,7443541.0722,607133.7969
51,133,7443541.0722,596573.7969
52,133,7443541.0722,586013.7969
53,133,7443541.0722,575453.7969
54,133,7443541.0722,564893.7969
55,133,7443541.0722,554333.7969
56,211,7443541.0722,543773.7969
57,144,7443541.0722,533213.7969
58,223,7443541.0722,522653.79689999996
59,223,7443541.0722,512093.79689999996
60,116,7443541.0722,501533.79689999996
61,116,7443541.0722,490973.79689999996
62,119,7454101.0722,607133.7969
63,167,7454101.0722,596573.7969
64,133,7454101.0722,586013.7969
65,133,7454101.0722,575453.7969
66,133,7454101.0722,564893.7969
67,133,7454101.0722,554333.7969
68,133,7454101.0722,543773.7969
69,144,7454101.0722,533213.7969
70,142,7454101.0722,522653.79689999996
71,142,7454101.0722,512093.79689999996
72,116,7454101.0722,501533.79689999996
73,242,7454101.0722,490973.79689999996
74,62,7464661.0722,733853.7969
75,119,7464661.0722,607133.7969
76,167,7464661.0722,596573.7969
77,167,7464661.0722,586013.7969
78,167,7464661.0722,575453.7969
79,167,7464661.0722,564893.7969
80,167,7464661.0722,554333.7969
81,167,7464661.0722,543773.7969
82,167,7464661.0722,533213.7969
83,142,7464661.0722,522653.79689999996
84,142,7464661.0722,512093.79689999996
85,142,7464661.0722,501533.79689999996
86,55,7475221.0722,733853.7969
87,76,7475221.0722,670493.7969
88,76,7475221.0722,659933.7969
89,119,7475221.0722,607133.7969
90,167,7475221.0722,564893.7969
91,167,7475221.0722,554333.7969
92,167,7475221.0722,543773.7969
93,167,7475221.0722,533213.7969
94,142,7475221.0722,522653.79689999996
95,142,7475221.0722,512093.79689999996
96,142,7475221.0722,501533.79689999996
97,55,7485781.0722,733853.7969
98,55,7485781.0722,723293.7969
99,55,7485781.0722,712733.7969
100,76,7485781.0722,670493.7969
101,76,7485781.0722,659933.7969
102,46,7485781.0722,649373.7969
103,46,7485781.0722,628253.7969
104,119,7485781.0722,607133.7969
105,167,7485781.0722,554333.7969
106,167,7485781.0722,543773.7969
107,167,7485781.0722,533213.7969
108,142,7485781.0722,522653.79689999996
109,142,7485781.0722,512093.79689999996
110,142,7485781.0722,501533.79689999996
111,62,7496341.0722,733853.7969
112,55,7496341.0722,723293.7969
113,55,7496341.0722,712733.7969
114,55,7496341.0722,702173.7969
115,76,7496341.0722,659933.7969
116,46,7496341.0722,638813.7969
117,46,7496341.0722,628253.7969
118,46,7496341.0722,617693.7969
119,119,7496341.0722,607133.7969
120,119,7496341.0722,596573.7969
121,277,7496341.0722,554333.7969
122,277,7496341.0722,543773.7969
123,277,7496341.0722,533213.7969
124,142,7496341.0722,522653.79689999996
125,142,7496341.0722,512093.79689999996
126,142,7496341.0722,501533.79689999996
127,163,7506901.0722,723293.7969
128,55,7506901.0722,712733.7969
129,55,7506901.0722,702173.7969
130,55,7506901.0722,691613.7969
131,76,7506901.0722,659933.7969
132,173,7506901.0722,638813.7969
133,173,7506901.0722,628253.7969
134,119,7506901.0722,617693.7969
135,119,7506901.0722,607133.7969
136,207,7506901.0722,596573.7969
137,277,7506901.0722,554333.7969
138,251,7506901.0722,543773.7969
139,251,7506901.0722,533213.7969
140,142,7506901.0722,522653.79689999996
141,142,7506901.0722,512093.79689999996
142,142,7506901.0722,501533.79689999996
143,89,7517461.0722,744413.7969
144,109,7517461.0722,723293.7969
145,163,7517461.0722,712733.7969
146,163,7517461.0722,702173.7969
147,55,7517461.0722,691613.7969
148,62,7517461.0722,681053.7969
149,62,7517461.0722,670493.7969
150,189,7517461.0722,659933.7969
151,173,7517461.0722,649373.7969
152,173,7517461.0722,638813.7969
153,173,7517461.0722,628253.7969
154,173,7517461.0722,617693.7969
155,207,7517461.0722,607133.7969
156,207,7517461.0722,596573.7969
157,277,7517461.0722,554333.7969
158,251,7517461.0722,543773.7969
159,251,7517461.0722,533213.7969
160,126,7517461.0722,522653.79689999996
161,126,7517461.0722,512093.79689999996
162,126,7517461.0722,501533.79689999996
163,276,7517461.0722,448733.79689999996
164,89,7528021.0722,733853.7969
165,109,7528021.0722,723293.7969
166,189,7528021.0722,670493.7969
167,189,7528021.0722,659933.7969
168,173,7528021.0722,649373.7969
169,173,7528021.0722,638813.7969
170,173,7528021.0722,628253.7969
171,173,7528021.0722,617693.7969
172,173,7528021.0722,607133.7969
173,207,7528021.0722,596573.7969
174,409,7528021.0722,586013.7969
175,213,7528021.0722,564893.7969
176,251,7528021.0722,554333.7969
177,213,7528021.0722,543773.7969
178,251,7528021.0722,533213.7969
179,126,7528021.0722,522653.79689999996
180,54,7528021.0722,512093.79689999996
181,54,7528021.0722,501533.79689999996
182,54,7528021.0722,490973.79689999996
183,276,7528021.0722,469853.79689999996
184,276,7528021.0722,459293.79689999996
185,77,7528021.0722,448733.79689999996
186,77,7528021.0722,438173.79689999996
187,89,7538581.0722,754973.7969
188,62,7538581.0722,744413.7969
189,62,7538581.0722,733853.7969
190,109,7538581.0722,723293.7969
191,136,7538581.0722,712733.7969
192,136,7538581.0722,702173.7969
193,189,7538581.0722,670493.7969
194,189,7538581.0722,659933.7969
195,96,7538581.0722,649373.7969
196,70,7538581.0722,638813.7969
197,70,7538581.0722,628253.7969
198,173,7538581.0722,617693.7969
199,49,7538581.0722,607133.7969
200,49,7538581.0722,596573.7969
201,49,7538581.0722,586013.7969
202,227,7538581.0722,575453.7969
203,213,7538581.0722,564893.7969
204,213,7538581.0722,554333.7969
205,213,7538581.0722,543773.7969
206,213,7538581.0722,533213.7969
207,54,7538581.0722,522653.79689999996
208,140,7538581.0722,512093.79689999996
209,89,7538581.0722,501533.79689999996
210,166,7538581.0722,469853.79689999996
211,242,7538581.0722,459293.79689999996
212,127,7538581.0722,448733.79689999996
213,77,7538581.0722,438173.79689999996
214,92,7538581.0722,427613.79689999996
215,92,7538581.0722,417053.79689999996
216,65,7549141.0722,754973.7969
217,65,7549141.0722,744413.7969
218,62,7549141.0722,733853.7969
219,62,7549141.0722,723293.7969
220,136,7549141.0722,712733.7969
221,136,7549141.0722,702173.7969
222,319,7549141.0722,691613.7969
223,158,7549141.0722,681053.7969
224,148,7549141.0722,670493.7969
225,148,7549141.0722,659933.7969
226,96,7549141.0722,649373.7969
227,70,7549141.0722,638813.7969
228,70,7549141.0722,628253.7969
229,70,7549141.0722,617693.7969
230,93,7549141.0722,607133.7969
231,49,7549141.0722,596573.7969
232,213,7549141.0722,586013.7969
233,58,7549141.0722,575453.7969
234,213,7549141.0722,564893.7969
235,213,7549141.0722,554333.7969
236,213,7549141.0722,543773.7969
237,213,7549141.0722,533213.7969
238,140,7549141.0722,522653.79689999996
239,140,7549141.0722,512093.79689999996
240,176,7549141.0722,501533.79689999996
241,258,7549141.0722,480413.79689999996
242,205,7549141.0722,469853.79689999996
243,298,7549141.0722,459293.79689999996
244,196,7549141.0722,448733.79689999996
245,77,7549141.0722,438173.79689999996
246,132,7549141.0722,427613.79689999996
247,65,7559701.0722,744413.7969
248,65,7559701.0722,733853.7969
249,65,7559701.0722,723293.7969
250,136,7559701.0722,712733.7969
251,136,7559701.0722,702173.7969
252,136,7559701.0722,691613.7969
253,158,7559701.0722,681053.7969
254,148,7559701.0722,670493.7969
255,96,7559701.0722,659933.7969
256,71,7559701.0722,649373.7969
257,71,7559701.0722,638813.7969
258,64,7559701.0722,628253.7969
259,64,7559701.0722,617693.7969
260,75,7559701.0722,607133.7969
261,77,7559701.0722,596573.7969
262,58,7559701.0722,586013.7969
263,58,7559701.0722,575453.7969
264,12,7559701.0722,564893.7969
265,12,7559701.0722,554333.7969
266,12,7559701.0722,543773.7969
267,12,7559701.0722,533213.7969
268,140,7559701.0722,522653.79689999996
269,140,7559701.0722,512093.79689999996
270,140,7559701.0722,501533.79689999996
271,318,7559701.0722,490973.79689999996
272,335,7559701.0722,480413.79689999996
273,366,7559701.0722,469853.79689999996
274,0,7559701.0722,459293.79689999996
275,90,7559701.0722,448733.79689999996
276,90,7559701.0722,438173.79689999996
277,132,7559701.0722,427613.79689999996
278,132,7559701.0722,417053.79689999996
279,223,7570261.0722,754973.7969
280,65,7570261.0722,744413.7969
281,223,7570261.0722,733853.7969
282,65,7570261.0722,723293.7969
283,223,7570261.0722,712733.7969
284,84,7570261.0722,702173.7969
285,102,7570261.0722,691613.7969
286,72,7570261.0722,681053.7969
287,71,7570261.0722,670493.7969
288,71,7570261.0722,659933.7969
289,71,7570261.0722,649373.7969
290,73,7570261.0722,638813.7969
291,73,7570261.0722,628253.7969
292,133,7570261.0722,617693.7969
293,132,7570261.0722,607133.7969
294,133,7570261.0722,596573.7969
295,58,7570261.0722,586013.7969
296,58,7570261.0722,575453.7969
297,12,7570261.0722,564893.7969
298,12,7570261.0722,554333.7969
299,211,7570261.0722,543773.7969
300,211,7570261.0722,533213.7969
301,140,7570261.0722,522653.79689999996
302,292,7570261.0722,512093.79689999996
303,292,7570261.0722,501533.79689999996
304,142,7570261.0722,490973.79689999996
305,142,7570261.0722,480413.79689999996
306,66,7570261.0722,469853.79689999996
307,101,7570261.0722,459293.79689999996
308,195,7570261.0722,448733.79689999996
309,195,7570261.0722,438173.79689999996
310,132,7570261.0722,427613.79689999996
311,110,7570261.0722,417053.79689999996
312,223,7580821.0722,754973.7969
313,223,7580821.0722,744413.7969
314,223,7580821.0722,733853.7969
315,223,7580821.0722,723293.7969
316,223,7580821.0722,712733.7969
317,223,7580821.0722,702173.7969
318,417,7580821.0722,691613.7969
319,142,7580821.0722,681053.7969
320,349,7580821.0722,670493.7969
321,349,7580821.0722,659933.7969
322,349,7580821.0722,649373.7969
323,126,7580821.0722,638813.7969
324,126,7580821.0722,628253.7969
325,133,7580821.0722,617693.7969
326,133,7580821.0722,607133.7969
327,133,7580821.0722,596573.7969
328,12,7580821.0722,586013.7969
329,12,7580821.0722,575453.7969
330,211,7580821.0722,564893.7969
331,211,7580821.0722,554333.7969
332,211,7580821.0722,543773.7969
333,183,7580821.0722,533213.7969
334,292,7580821.0722,522653.79689999996
335,292,7580821.0722,512093.79689999996
336,70,7580821.0722,501533.79689999996
337,72,7580821.0722,490973.79689999996
338,72,7580821.0722,480413.79689999996
339,72,7580821.0722,469853.79689999996
340,101,7580821.0722,459293.79689999996
341,289,7580821.0722,438173.79689999996
342,123,7580821.0722,427613.79689999996
343,87,7591381.0722,744413.7969
344,87,7591381.0722,733853.7969
345,87,7591381.0722,723293.7969
346,34,7591381.0722,712733.7969
347,34,7591381.0722,702173.7969
348,82,7591381.0722,691613.7969
349,258,7591381.0722,681053.7969
350,126,7591381.0722,670493.7969
351,56,7591381.0722,659933.7969
352,349,7591381.0722,649373.7969
353,186,7591381.0722,638813.7969
354,186,7591381.0722,628253.7969
355,216,7591381.0722,617693.7969
356,133,7591381.0722,607133.7969
357,133,7591381.0722,596573.7969
358,102,7591381.0722,586013.7969
359,102,7591381.0722,575453.7969
360,211,7591381.0722,564893.7969
361,387,7591381.0722,554333.7969
362,211,7591381.0722,543773.7969
363,211,7591381.0722,533213.7969
364,211,7591381.0722,522653.79689999996
365,70,7591381.0722,512093.79689999996
