model_yr,make1,0
2011,Chevrolet,32
2011,Ford,99
2011,Nissan,418
2011,Tesla,2
2012,Chevrolet,255
2012,Fisker,7
2012,Ford,9
2012,Mitsubishi,36
2012,Nissan,384
2012,Tesla,47
2012,Toyota,326
2013,Chevrolet,429
2013,FIAT,45
2013,Ford,371
2013,Honda,8
2013,Nissan,1055
2013,Smart,20
2013,Tesla,251
2013,Toyota,202
2014,BMW,192
2014,Cadillac,15
2014,Chevrolet,412
2014,FIAT,49
2014,Ford,286
2014,Honda,11
2014,McLaren,1
2014,Mercedes-Benz,16
2014,Mitsubishi,7
2014,Nissan,390
2014,Porsche,9
2014,Smart,29
2014,Tesla,212
2014,Toyota,99
2015,BMW,196
2015,Chevrolet,450
2015,FIAT,171
2015,Ford,332
2015,Kia,11
2015,Mercedes-Benz,18
2015,Nissan,735
2015,Porsche,16
2015,Smart,32
2015,Tesla,359
2015,Toyota,65
2015,Volkswagen,115
2016,Audi,74
2016,BMW,274
2016,Cadillac,10
2016,Chevrolet,516
2016,FIAT,133
2016,Ford,545
2016,Hyundai,77
2016,Kia,131
2016,Mercedes-Benz,35
2016,Mitsubishi,3
2016,Nissan,469
2016,Porsche,37
2016,Smart,27
2016,Tesla,757
2016,Volkswagen,403
2016,Volvo,47
2017,Audi,97
2017,BMW,397
2017,Cadillac,5
2017,Chevrolet,1396
2017,Chrysler,38
2017,FIAT,68
2017,Ford,522
2017,Honda,74
2017,Hyundai,34
2017,Kia,99
2017,Mercedes-Benz,42
2017,Nissan,281
2017,Porsche,25
2017,Smart,32
2017,Tesla,754
2017,Toyota,780
2017,Volkswagen,62
2017,Volvo,35
2018,Audi,85
2018,BMW,374
2018,Cadillac,1
2018,Chevrolet,635
2018,Chrysler,252
2018,FIAT,21
2018,Ford,121
2018,Honda,436
2018,Hyundai,8
2018,Karma,2
2018,Kia,146
2018,MINI,20
2018,Mercedes-Benz,26
2018,Mitsubishi,89
2018,Nissan,306
2018,Porsche,27
2018,Smart,62
2018,Tesla,3215
2018,Toyota,445
2018,Volkswagen,19
2018,Volvo,78
2019,Audi,151
2019,BMW,175
2019,Chevrolet,880
2019,Chrysler,103
2019,FIAT,17
2019,Ford,121
2019,Honda,83
2019,Hyundai,284
2019,Jaguar,34
2019,Kia,296
2019,MINI,39
2019,Mercedes-Benz,98
2019,Mitsubishi,57
2019,Nissan,629
2019,Porsche,15
2019,Smart,13
2019,Subaru,215
2019,Tesla,1899
2019,Toyota,216
2019,Volkswagen,313
2019,Volvo,76
2020,Audi,48
2020,BMW,15
2020,Chevrolet,269
2020,Chrysler,50
2020,Ford,32
2020,Honda,25
2020,Hyundai,167
2020,Jaguar,8
2020,Kia,3
2020,Land Rover,4
2020,Lincoln,1
2020,MINI,8
2020,Mercedes-Benz,3
2020,Mitsubishi,1
2020,Nissan,30
2020,Porsche,9
2020,Subaru,61
2020,Tesla,1252
2020,Toyota,395
2020,Volvo,45
