,GEOID,hhinc_low
0,410290024001,134
1,410419508001,207
2,410419508002,576
3,410419514001,164
4,410419514002,260
5,410290027002,123
6,410290027003,748
7,410290027001,183
8,410290027004,400
9,410290011003,167
10,410290011002,345
11,410290011001,176
12,410290013011,142
13,410290013013,64
14,410290021002,208
15,410290021003,82
16,410290029005,341
17,410290029001,207
18,410290029002,114
19,410290029006,132
20,410290018003,412
21,410290018001,238
22,410290018002,336
23,410290020002,256
24,410290028001,207
25,410290028003,81
26,410290008001,741
27,410290007001,252
28,410290007002,447
29,410190500012,246
30,410190500011,112
31,410190500014,122
32,410191800001,161
33,410191800004,130
34,410359704001,251
35,410359714002,205
36,410359714003,71
37,410359715004,262
38,410359715001,180
39,410359715005,288
40,410359715002,240
41,410359718003,305
42,410419504001,572
43,410290030023,148
44,410419501001,504
45,410419501002,237
46,410419511001,142
47,410419511002,260
48,410419516001,276
49,410419516003,182
50,410419516002,315
51,410419509001,97
52,410419509003,166
53,410419509002,91
54,410419509004,237
55,410419512002,140
56,410470028001,77
57,410470028002,381
58,410470101002,12
59,410470106001,58
60,410050222012,917
61,410050222011,115
62,410050235002,124
63,410050235005,119
64,410050235001,191
65,410050238001,143
66,410050238003,12
67,410050238005,79
68,410050216012,530
69,410050216013,116
70,410359701003,232
71,410359701001,86
72,410290030022,204
73,410290025001,63
74,410290025002,110
75,410290009002,305
76,410290009001,83
77,410290014001,352
78,410290023002,126
79,410290002011,271
80,410290002013,459
81,410290015001,38
82,410290015002,267
83,410290024002,142
84,410599505001,301
85,410599505002,279
86,410599505003,63
87,410599507002,186
88,410599507001,203
89,410599507003,115
90,410599509002,143
91,410599509003,222
92,410599509001,380
93,410599502001,198
94,410599502003,132
95,410599502005,187
96,410599502004,202
97,410599502002,288
98,410599502006,86
99,410599514001,258
100,410470108022,92
101,410470108024,187
102,410470018014,314
103,410470018013,165
104,410470018012,364
105,410050228001,272
106,410050228003,52
107,410050232022,216
108,410710302022,172
109,410710302021,288
110,410019503002,291
111,410019503003,131
112,410019501003,164
113,410019501001,242
114,410019504003,192
115,410019504001,293
116,410019506001,114
117,410019502003,307
118,410019505002,161
119,410019505001,389
120,410333611001,487
121,410333611003,436
122,410333613004,343
123,410470016042,335
124,410050214002,107
125,410050214003,211
126,410359718001,231
127,410359703002,78
128,410359703001,149
129,410359703003,124
130,410359703004,65
131,410359705002,126
132,410359705001,243
133,410359711003,151
134,410359711004,65
135,410359711001,119
136,410359711002,146
137,410470106002,218
138,410470106003,125
139,410470013003,49
140,410470013001,166
141,410470015013,279
142,410470015011,122
143,410470016024,231
144,410470016022,760
145,410470016021,392
146,410470018023,17
147,410470018022,89
148,410470023011,204
149,410470107021,138
150,410470107022,424
151,410470108014,110
152,410470108015,289
153,410470108011,111
154,410470108012,123
155,410050232012,176
156,410050232011,172
157,410050236001,58
158,410050243023,299
159,410050203042,103
160,410050203041,79
161,410050212001,442
162,410050224001,166
163,410359707001,140
164,410359707002,205
165,410359717003,175
166,410359717002,183
167,410359710001,200
168,410599506001,15
169,410599506003,236
170,410599506006,112
171,410599508004,341
172,410599508002,258
173,410599508001,169
174,410599508003,156
175,410599510001,125
176,410599510002,424
177,410599510004,127
178,410599510003,202
179,410290002033,315
180,410290002032,242
181,410290002031,230
182,410290013023,489
183,410290013025,197
184,410290013021,148
185,410290022004,304
186,410290022002,211
187,410290022003,132
188,410290030011,147
189,410290006013,251
190,410290006011,74
191,410290012002,8
192,410290012001,506
193,410050240002,84
194,410050218022,414
195,410599510005,175
196,410599513002,171
197,410599513004,154
198,410599513001,20
199,410599501001,306
200,410599511003,203
201,410599511004,47
202,410599511005,171
203,410599512005,57
204,410599512002,338
205,410599512003,129
206,410599512006,253
207,410419518001,221
208,410419518002,273
209,410419517001,377
210,410530204001,223
211,410530204004,253
212,410530204002,234
213,410530204005,72
214,410050201002,42
215,410050201001,95
216,410050203021,139
217,410050203022,156
218,410290003001,553
219,410290003002,766
220,410290002022,158
221,410290002023,315
222,410290002021,266
223,410290017002,622
224,410290017003,223
225,410290019002,136
226,410290001001,321
227,410050224004,77
228,410050224005,184
229,410050237002,126
230,410050237001,141
231,410190800004,113
232,410190800005,216
233,410050209003,424
234,410050209002,104
235,410050216023,252
236,410050216021,441
237,410050219002,170
238,410050202004,159
239,410050202002,42
240,410050217001,282
241,410050217002,369
242,410599514002,108
243,410599503003,153
244,410599503002,90
245,410599504005,70
246,410599504006,52
247,410599504001,65
248,410599504003,231
249,410599506004,239
250,410599506002,183
251,410670312002,131
252,410670316062,181
253,410670316061,240
254,410670316063,202
255,410670316131,60
256,410619704002,225
257,410619704001,46
258,410099704002,147
259,410099704001,186
260,410430304016,214
261,410430304011,171
262,410430307003,212
263,410430307004,209
264,410510037013,214
265,410670317033,155
266,410670318051,85
267,410670318054,103
268,410670321031,110
269,410670321032,513
270,410670326033,126
271,410670326031,84
272,410050244001,244
273,410050244003,642
274,410050244002,41
275,410470021022,60
276,410470021023,287
277,410470021024,388
278,410470021021,191
279,410470023032,231
280,410419503043,407
281,410419503031,129
282,410419503032,123
283,410050220003,239
284,410050228004,110
285,410050202005,229
286,410510067012,140
287,410530053005,126
288,410530203042,326
289,410530203041,423
290,410530203032,409
291,410530205002,242
292,410510096053,474
293,410510104111,336
294,410510064032,346
295,410510064033,205
296,410510104101,309
297,410510104103,163
298,410579604001,123
299,410579604003,333
300,410579605003,177
301,410579605001,93
302,410579607002,191
303,410710305011,167
304,410710305013,320
305,410710307021,193
306,410710310001,251
307,410710302013,228
308,410710302014,286
309,410710302012,132
310,410470105032,159
311,410470105033,167
312,410470107012,131
313,410470107015,384
314,410530052011,84
315,410530052013,543
316,410530202041,132
317,410530202042,92
318,410530051001,257
319,410470105013,240
320,410470105011,149
321,410510003025,29
322,410510003022,100
323,410510003026,13
324,410510003024,13
325,410510005012,99
326,410510005014,68
327,410510005011,154
328,410510005013,142
329,410510013023,66
330,410510013022,112
331,410510013021,125
332,410510024011,39
333,410510024012,38
334,410139501004,147
335,410139501003,779
336,410670316132,36
337,410670316134,505
338,410670316133,188
339,410670318072,68
340,410670318071,394
341,410670324045,129
342,410670324044,81
343,410670324042,56
344,410670319041,57
345,410670309001,395
346,410670315121,55
347,410670315122,190
348,410499702002,101
349,410499702001,57
350,410499702006,51
351,410499701001,278
352,410279504003,228
353,410379602002,164
354,410379602004,123
355,410379602003,177
356,410379602005,225
357,410379601002,203
358,410379601001,712
359,410510003012,49
360,410510002003,196
361,410510002004,501
362,410510004022,79
363,410510004023,133
364,410510011021,214
365,410510015003,65
366,410510015002,113
367,410510076001,242
368,410510076002,388
369,410510077002,123
370,410510081002,264
371,410510081004,372
372,410459706001,124
373,410459706003,177
374,410710303022,64
375,410710303021,70
376,410710301021,75
377,410710301023,406
378,410710306011,243
379,410710306012,335
380,410710301011,296
381,410710303011,49
382,410710303012,409
383,410050204042,91
384,410050204041,113
385,410670309003,363
386,410670309002,210
387,410319603024,342
388,410319603023,60
389,410050230011,163
390,410139501005,211
391,410139502002,122
392,410139502004,289
393,410139503002,319
394,410139503004,170
395,410139503005,263
396,410559501002,160
397,410559501001,168
398,410659702003,269
399,410659705002,343
400,410659705003,239
401,410659707002,115
402,410390039001,325
403,410390039003,361
404,410110011002,146
405,410110011006,227
406,410110011003,193
407,410110011005,179
408,410110006002,112
409,410110006001,143
410,410110003002,91
411,410510063001,85
412,410510064022,136
413,410510070003,87
414,410510070002,70
415,410510072012,216
416,410510038023,46
417,410319602023,227
418,410319602022,417
419,410319602012,320
420,410319602011,523
421,410319603012,164
422,410319603013,277
423,410319603011,133
424,410030002022,582
425,410030002021,18
426,410030107022,0
427,410030107023,500
428,410030107021,285
429,410459706005,65
430,410459706002,205
431,410459706004,184
432,410459702001,147
433,410459702003,134
434,410459702004,376
435,410459702002,177
436,410459705001,155
437,410459705006,110
438,410459705004,186
439,410459705005,132
440,410459705003,128
441,410459705002,175
442,410510001002,96
443,410510006022,420
444,410510006023,128
445,410510006021,134
446,410510008014,131
447,410510074002,340
448,410510007011,184
449,410510007012,105
450,410510016022,68
451,410510016023,356
452,410510016024,198
453,410510065011,51
454,410510079001,327
455,410510082022,490
456,410510082021,682
457,410510083022,448
458,410510093022,271
459,410510097012,176
460,410510097013,233
461,410510103032,278
462,410510001007,90
463,410510001006,58
464,410510001005,113
465,410510001001,81
466,410390024042,310
467,410030011021,136
468,410030011022,388
469,410030104003,337
470,410030104001,106
471,410030104002,86
472,410030101003,204
473,410030101001,54
474,410030101002,116
475,410030101004,273
476,410030101005,77
477,410030004004,80
478,410030004001,306
479,410030004002,196
480,410030004003,157
481,410030001001,177
482,410030001003,166
483,410390047003,152
484,410390047004,225
485,410390047001,144
486,410390050003,167
487,410390050001,138
488,410390044034,275
489,410390044031,278
490,410390044032,626
491,410390048001,680
492,410390048003,468
493,410390009031,83
494,410390009033,321
495,410390013022,449
496,410050214001,208
497,410050220001,123
498,410050220002,244
499,410050231001,169
500,410050231002,191
501,410050231003,196
502,410050233002,56
503,410050233001,171
504,410050233003,96
505,410333607021,780
506,410333607022,203
507,410333607023,356
508,410333610003,147
509,410333610004,207
510,410333610002,256
511,410333616001,414
512,410333616007,419
513,410333616005,117
514,410333616002,503
515,410030108003,192
516,410030108001,155
517,410030108002,120
518,410030106004,33
519,410030106003,412
520,410030106001,427
521,410470104005,87
522,410259602001,180
523,410259601004,514
524,410259601003,202
525,410259601005,229
526,410670314022,159
527,410390019043,402
528,410390029031,148
529,410390023012,133
530,410390045013,243
531,410390045011,295
532,410510003014,218
533,410510099041,147
534,410510099043,61
535,410510106002,899
536,410510106003,296
537,410510023031,211
538,410510022031,146
539,410510022032,163
540,410510022034,213
541,410510065013,28
542,410710307023,514
543,410710308013,350
544,410390035004,135
545,410390024041,223
546,410390028001,484
547,410390016002,215
548,410390016003,130
549,410390016001,140
550,410390016004,114
551,410390021011,190
552,410510099033,54
553,410670302002,104
554,410670302003,84
555,410670308014,393
556,410670308013,250
557,410670316112,164
558,410670316113,55
559,410510017016,33
560,410099707001,188
561,410099707004,221
562,410099707003,212
563,410099710001,262
564,410099710002,200
565,410099710003,119
566,410099705003,94
567,410099705004,113
568,410099705001,378
569,410099705002,93
570,410099711002,129
571,410099711003,171
572,410099711001,105
573,410099706001,158
574,410099706003,114
575,410099709002,103
576,410099709001,82
577,410139504001,598
578,410139504002,128
579,410390053002,137
580,410390053001,91
581,410390011013,232
582,410390011011,99
583,410390011023,220
584,410390011021,105
585,410390014002,187
586,410333608002,211
587,410333608003,425
588,410333605002,158
589,410333605004,281
590,410333615001,448
591,410359702001,366
592,410359702002,293
593,410359702004,191
594,410470105021,459
595,410470105023,63
596,410470017023,349
597,410470017021,111
598,410470006003,363
599,410470006001,295
600,410470016044,405
601,410470017011,495
602,410470017013,385
603,410470017032,226
604,410470017033,130
605,410470024001,93
606,410470103044,146
607,410470103042,169
608,410470103043,109
609,410670328001,136
610,410670308032,257
611,410670308033,134
612,410670308031,248
613,410670303002,121
614,410670303004,78
615,410670303001,144
616,410670303003,60
617,410670310035,179
618,410670310034,139
619,410670310031,227
620,410499701002,192
621,410499701003,169
622,410499701005,232
623,410079512001,134
624,410470105012,34
625,410470004001,353
626,410470004002,336
627,410470010002,353
628,410470010003,298
629,410390017001,364
630,410390017003,208
631,410390017004,133
632,410390024011,69
633,410390029021,547
634,410390030002,600
635,410670310033,50
636,410670310062,77
637,410670310061,281
638,410670310064,529
639,410670317062,171
640,410670317063,121
641,410670316101,40
642,410670316104,298
643,410670316103,81
644,410670320013,44
645,410079512003,189
646,410079513001,227
647,410079505001,170
648,410079502002,208
649,410079502001,281
650,410079502003,152
