,hhinc_<10,hhinc_10-15,hhinc_15-20,hhinc_20-25,hhinc_25-30,hhinc_30-35,hhinc_35-40,hhinc_40-45,hhinc_45-50,hhinc_50-60,hhinc_60-75,hhinc_med,GEOID,id,left,top,right,bottom,geometry,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,UTILITYNAM,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,GLOBALID,SHAPE_STAr,SHAPE_STLe
0,13,10,10,10,17,17,0,0,25,13,88,94250,410470028001,636,7512381.9918,439892.1747,7522941.9918,450452.1747,POINT (7512381.9918 439892.1747),41,047,002800,1,Block Group 1,G5030,S,37018063.0,592033.0,+44.8429038,-123.0947509,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
1,13,10,10,10,17,17,0,0,25,13,88,94250,410470028001,676,7522941.9918,439892.1747,7533501.9918,450452.1747,POINT (7522941.9918 439892.1747),41,047,002800,1,Block Group 1,G5030,S,37018063.0,592033.0,+44.8429038,-123.0947509,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
2,13,10,10,10,17,17,0,0,25,13,88,94250,410470028001,716,7533501.9918,439892.1747,7544061.9918,450452.1747,POINT (7533501.9918 439892.1747),41,047,002800,1,Block Group 1,G5030,S,37018063.0,592033.0,+44.8429038,-123.0947509,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
3,13,10,10,10,17,17,0,0,25,13,88,94250,410470028001,757,7544061.9918,429332.1747,7554621.9918,439892.1747,POINT (7544061.9918 429332.1747),41,047,002800,1,Block Group 1,G5030,S,37018063.0,592033.0,+44.8429038,-123.0947509,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
4,34,0,74,64,29,90,53,37,23,44,91,72759,410470028002,756,7544061.9918,439892.1747,7554621.9918,450452.1747,POINT (7544061.9918 439892.1747),41,047,002800,2,Block Group 2,G5030,S,12130755.0,0.0,+44.8530377,-123.0625121,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
5,90,117,97,41,212,45,182,133,16,52,233,40398,410050222012,1216,7670781.9918,651092.1747,7681341.9918,661652.1747,POINT (7670781.9918 651092.1747),41,005,022201,2,Block Group 2,G5030,S,719333.0,0.0,+45.4368374,-122.5737427,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
6,17,0,0,0,67,19,0,21,37,0,34,111250,410050235002,1499,7744701.9918,619412.1747,7755261.9918,629972.1747,POINT (7744701.9918 619412.1747),41,005,023500,2,Block Group 2,G5030,S,32832426.0,16701.0,+45.3504676,-122.2674067,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
7,17,0,0,0,67,19,0,21,37,0,34,111250,410050235002,1539,7755261.9918,619412.1747,7765821.9918,629972.1747,POINT (7755261.9918 619412.1747),41,005,023500,2,Block Group 2,G5030,S,32832426.0,16701.0,+45.3504676,-122.2674067,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
8,0,68,18,0,0,0,33,0,0,16,0,133148,410050235005,1459,7734141.9918,619412.1747,7744701.9918,629972.1747,POINT (7734141.9918 619412.1747),41,005,023500,5,Block Group 5,G5030,S,11291501.0,11799.0,+45.3529265,-122.3261520,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
9,0,22,83,0,0,29,18,39,0,58,51,61182,410050235001,1378,7713021.9918,629972.1747,7723581.9918,640532.1747,POINT (7713021.9918 629972.1747),41,005,023500,1,Block Group 1,G5030,S,23370231.0,341283.0,+45.3756702,-122.3733660,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
