,NAME,tot_pop,race_tot,race_white,race_black,race_indig,race_asian,race_isl,race_oth,race_2+,race_2+inc,race_2_3+,tenu_tot,tenu_own,tenu_rent,edu_tot,edu_none,edu_nurs,edu_kind,edu_1st,edu_2nd,edu_3rd,edu_4th,edu_5th,edu_6th,edu_7th,edu_8th,edu_9th,edu_10th,edu_11th,edu_12_nodip,edu_hsdip,edu_ged,edu_coll<1,edu_coll>1,edu_assoc,edu_bach,edu_mast,edu_prof,edu_doct,comp_tot,comp_has,comp_dial,comp_bro,comp_noint,comp_no,state,county,tract,block group,GEOID,tenu_p-rent,race_nonw,race_prop
0,"Block Group 1, Census Tract 24, Jackson County, Oregon",1014,1014,979,3,0,16,0,16,0,0,0,390,339,51,784,0,0,0,0,0,6,4,0,15,0,0,0,4,0,20,106,0,58,222,40,186,71,47,5,390,369,0,353,16,21,41,29,2400,1,410290024001,0.13076923076923078,35,0.03451676528599606
1,"Block Group 1, Census Tract 9508, Lincoln County, Oregon",1547,1547,1343,109,9,4,0,19,63,0,63,667,514,153,1256,0,0,0,0,0,0,0,0,0,0,15,0,0,0,33,224,66,113,242,249,182,124,8,0,667,612,0,590,22,55,41,41,950800,1,410419508001,0.22938530734632684,204,0.13186813186813187
2,"Block Group 2, Census Tract 9508, Lincoln County, Oregon",1775,1775,1576,12,74,34,0,0,79,0,79,935,508,427,1431,9,0,0,0,0,0,0,0,0,0,9,0,40,0,6,344,80,173,246,194,318,12,0,0,935,884,0,781,103,51,41,41,950800,2,410419508002,0.4566844919786096,199,0.11211267605633803
3,"Block Group 1, Census Tract 9514, Lincoln County, Oregon",2183,2183,2021,0,0,0,0,0,162,0,162,670,509,161,1395,0,0,0,0,0,0,0,0,0,0,9,19,0,50,16,419,87,99,318,81,176,91,16,14,670,624,0,553,71,46,41,41,951400,1,410419514001,0.24029850746268658,162,0.07420980302336234
4,"Block Group 2, Census Tract 9514, Lincoln County, Oregon",1223,1223,1120,0,46,0,44,0,13,13,0,549,294,255,905,11,0,0,0,0,0,0,0,0,0,0,0,38,19,57,198,108,129,82,76,77,86,24,0,549,549,13,479,57,0,41,41,951400,2,410419514002,0.4644808743169399,103,0.08421913327882256
5,"Block Group 2, Census Tract 27, Jackson County, Oregon",1768,1768,1707,0,0,0,0,34,27,0,27,644,542,102,1354,32,0,0,0,0,0,0,0,0,0,0,0,16,0,0,408,14,95,193,121,299,113,63,0,644,576,71,505,0,68,41,29,2700,2,410290027002,0.15838509316770186,61,0.034502262443438916
6,"Block Group 3, Census Tract 27, Jackson County, Oregon",2884,2884,2774,46,0,0,0,14,50,0,50,1401,1110,291,2399,19,0,0,0,0,0,0,1,0,0,69,16,110,41,101,630,165,139,618,191,161,50,17,71,1401,1072,0,1003,69,329,41,29,2700,3,410290027003,0.20770877944325483,110,0.03814147018030513
7,"Block Group 1, Census Tract 27, Jackson County, Oregon",990,990,863,0,23,0,0,86,18,18,0,418,295,123,819,42,0,0,0,0,0,0,0,0,0,0,15,46,16,0,180,82,145,156,37,79,0,0,21,418,418,0,371,47,0,41,29,2700,1,410290027001,0.2942583732057416,127,0.12828282828282828
8,"Block Group 4, Census Tract 27, Jackson County, Oregon",1716,1716,1643,0,22,2,0,0,49,0,49,711,513,198,1246,0,0,0,0,0,0,0,0,0,0,4,3,111,52,32,354,27,148,276,86,144,6,3,0,711,645,0,476,169,66,41,29,2700,4,410290027004,0.27848101265822783,73,0.042540792540792544
9,"Block Group 3, Census Tract 11, Jackson County, Oregon",1087,1087,1087,0,0,0,0,0,0,0,0,427,357,70,748,0,0,0,0,0,0,0,0,0,0,0,0,0,51,35,225,40,39,145,149,33,16,15,0,427,359,0,359,0,68,41,29,1100,3,410290011003,0.16393442622950818,0,0.0
10,"Block Group 2, Census Tract 11, Jackson County, Oregon",3148,3148,2915,0,87,0,0,30,116,0,116,1137,970,167,2158,12,0,0,0,0,0,0,0,0,0,0,18,29,52,39,539,60,198,438,292,270,148,63,0,1137,1094,0,1018,76,43,41,29,1100,2,410290011002,0.1468777484608619,233,0.07401524777636595
11,"Block Group 1, Census Tract 11, Jackson County, Oregon",1223,1223,1002,0,0,0,0,0,221,0,221,521,452,69,1035,0,0,0,0,0,0,0,0,14,0,35,0,0,56,102,353,84,23,236,54,33,29,16,0,521,435,0,407,28,86,41,29,1100,1,410290011001,0.1324376199616123,221,0.18070318887980377
12,"Block Group 1, Census Tract 13.01, Jackson County, Oregon",1475,1475,1452,0,0,0,0,0,23,0,23,515,396,119,1021,20,0,0,0,0,0,0,0,0,0,0,98,69,25,13,163,140,130,215,35,113,0,0,0,515,496,0,463,33,19,41,29,1301,1,410290013011,0.23106796116504855,23,0.015593220338983051
13,"Block Group 3, Census Tract 13.01, Jackson County, Oregon",916,916,762,0,0,22,10,20,102,11,91,308,235,73,656,0,20,0,0,0,0,0,0,0,0,0,0,18,5,11,220,71,96,102,38,53,22,0,0,308,303,13,275,15,5,41,29,1301,3,410290013013,0.237012987012987,154,0.16812227074235808
14,"Block Group 2, Census Tract 21, Jackson County, Oregon",843,843,755,45,0,20,0,10,13,0,13,444,165,279,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,9,56,94,34,171,159,71,36,444,434,0,415,19,10,41,29,2100,2,410290021002,0.6283783783783784,88,0.10438908659549229
15,"Block Group 3, Census Tract 21, Jackson County, Oregon",775,775,744,12,0,19,0,0,0,0,0,420,277,143,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,0,36,0,260,161,103,30,420,413,0,405,8,7,41,29,2100,3,410290021003,0.3404761904761905,31,0.04
16,"Block Group 5, Census Tract 29, Jackson County, Oregon",1203,1203,1139,0,12,0,0,0,52,0,52,609,397,212,919,0,0,0,0,0,0,0,0,0,37,0,5,10,12,23,229,29,87,150,226,59,35,17,0,609,466,5,423,38,143,41,29,2900,5,410290029005,0.34811165845648606,64,0.05320033250207814
17,"Block Group 1, Census Tract 29, Jackson County, Oregon",811,811,773,0,0,13,0,17,8,0,8,392,244,148,672,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,165,18,37,140,89,107,37,37,0,392,347,16,284,47,45,41,29,2900,1,410290029001,0.37755102040816324,38,0.0468557336621455
18,"Block Group 2, Census Tract 29, Jackson County, Oregon",1712,1712,1581,31,21,13,0,0,66,0,66,711,613,98,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,328,38,174,275,232,336,66,21,32,711,695,0,678,17,16,41,29,2900,2,410290029002,0.13783403656821377,131,0.07651869158878505
19,"Block Group 6, Census Tract 29, Jackson County, Oregon",1066,1066,1066,0,0,0,0,0,0,0,0,381,270,111,801,0,0,0,0,0,0,0,0,0,0,0,23,0,12,0,230,0,53,230,35,138,18,0,62,381,328,0,328,0,53,41,29,2900,6,410290029006,0.29133858267716534,0,0.0
20,"Block Group 3, Census Tract 18, Jackson County, Oregon",2513,2513,2301,19,0,46,0,39,108,0,108,1119,831,288,1788,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,161,29,170,376,105,503,316,58,48,1119,1063,0,999,64,56,41,29,1800,3,410290018003,0.257372654155496,212,0.08436132113012336
21,"Block Group 1, Census Tract 18, Jackson County, Oregon",1564,1564,1539,0,0,25,0,0,0,0,0,722,488,234,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,152,16,124,232,118,229,299,14,23,722,694,0,694,0,28,41,29,1800,1,410290018001,0.32409972299168976,25,0.0159846547314578
22,"Block Group 2, Census Tract 18, Jackson County, Oregon",2470,2470,2308,0,0,60,0,0,102,0,102,1153,898,255,1941,19,0,0,0,0,0,0,0,18,24,16,0,0,0,0,137,30,199,252,41,624,355,127,99,1153,1041,0,1010,31,112,41,29,1800,2,410290018002,0.22116218560277537,162,0.06558704453441296
23,"Block Group 2, Census Tract 20, Jackson County, Oregon",842,842,824,0,0,11,0,0,7,0,7,505,207,298,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,57,76,44,256,118,32,31,505,497,0,489,8,8,41,29,2000,2,410290020002,0.5900990099009901,18,0.021377672209026127
24,"Block Group 1, Census Tract 28, Jackson County, Oregon",1662,1662,1544,0,0,22,0,12,84,10,74,652,514,138,1301,8,0,0,0,0,0,0,0,0,0,0,8,67,27,66,315,53,170,162,118,249,37,21,0,652,624,11,552,61,28,41,29,2800,1,410290028001,0.2116564417177914,118,0.07099879663056559
25,"Block Group 3, Census Tract 28, Jackson County, Oregon",540,540,517,0,0,23,0,0,0,0,0,266,256,10,510,0,0,0,0,0,0,0,0,0,0,22,10,12,0,23,181,0,40,93,31,59,31,0,8,266,266,0,244,22,0,41,29,2800,3,410290028003,0.03759398496240601,23,0.04259259259259259
