,field_1,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency,geometry,OBJECTID,UTILITYNAM,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,GLOBALID,SHAPE_STAr,SHAPE_STLe
0,0,public,24 hours daily,,,2021-06-07,,ELEC,Public,33378,2008-10-15,P,E,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,800-955-6674,2021-06-07T17:37:37,MUSEUM,GPS,45.508396,-122.664667,Portland,Under solar canopy in east parking lot,,OR,1945 SE Water Ave,97214,US,,,,,,,,,,,"['J1772', 'NEMA515']",,2.0,2.0,Non-Networked,,,Free,SOLAR,,,,,,,,,,,,,,,Public,,,,POINT (7647224.631017042 678882.0835151848),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
1,1,public,24 hours daily,,,2021-06-07,,ELEC,Public,34849,2009-10-15,SG,E,City of Keizer - City Hall,503-390-3700,2021-06-07T17:37:37,PARKING_LOT,200-9,44.99574,-123.019758,Salem,,,OR,930 Chemawa Rd NE,97303,US,,,,,,,,,,,['NEMA520'],,2.0,,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7550402.1852071 494705.099855597),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
2,2,private,Employee use only,,,2021-04-08,,ELEC,Private,34859,2017-02-21,P,E,Nike - LA Garage,,2021-04-08T20:32:57,OFFICE_BLDG,GPS,45.508795,-122.8249,Beaverton,,,OR,1 Bowerman Dr,97006,US,,,,,,,,,,,['J1772'],,,6.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,,POINT (7606166.793997439 680168.7073121727),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
6,6,private,Employee use only,,,2021-01-14,,ELEC,Private,35557,2009-11-01,P,E,Oregon Electric Group,,2021-05-20T22:28:33,UTILITY,200-9,45.510465,-122.663354,Portland,,,OR,1709 SE 3rd Ave,97214,US,,,,,,,,,,,"['J1772', 'NEMA520']",,3.0,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,,POINT (7647581.312994494 679627.1683715991),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
8,8,public,24 hours daily,,,2021-06-16,,ELEC,Public,37170,,,E,HILLSBORO OR MAIN ST 1,888-758-4389,2021-06-16T00:24:33,,GPS,45.522609,-122.988535,Hillsboro,,,OR,150 E Main St,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL214301'], 'posts': ['291177', '291179']}",,POINT (7564390.790603734 686452.4725815769),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
9,9,public,24 hours daily,,,2021-06-16,,ELEC,Public,37171,,,E,HILLSBORO OR EV-8,888-758-4389,2021-06-16T00:24:33,,GPS,45.520533,-122.978089,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5444241'], 'posts': ['9051251', '9051261']}",,POINT (7567043.615096732 685613.6228181047),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
10,10,public,24 hours daily,,,2021-06-07,,ELEC,Public,37651,2008-10-15,P,E,Oregon Museum of Science and Industry (OMSI) - North Parking Lot,800-955-6674,2021-06-07T17:37:37,MUSEUM,GPS,45.509326,-122.666392,Portland,Near building in north parking lot,,OR,1945 SE Water Ave,97214,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7646791.65428939 679232.8974435352),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
11,11,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39827,2011-03-15,P,E,Carr Nissan,503-643-8676,2021-03-11T23:22:17,CAR_DEALER,200-9,45.491783,-122.81107,Beaverton,,,OR,3855 SW Cedar Hills Blvd,97005,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,POINT (7609533.409833272 673866.8694212994),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
15,15,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39832,2011-03-15,P,E,Dick Hannah Nissan,503-655-6519,2021-03-11T23:22:17,CAR_DEALER,200-9,45.378967,-122.603899,Gladstone,,,OR,19505 SE McLoughlin Blvd,97027,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,POINT (7661569.145151317 631296.78975948),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
18,18,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39838,2011-03-15,P,E,Rustom Nissan - Portland,503-251-3349,2021-03-11T23:22:17,CAR_DEALER,200-9,45.531759,-122.537403,Portland,,,OR,1212 NE 122nd Ave,97230,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,POINT (7680054.228151225 686549.3294516749),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
19,19,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39839,2011-03-15,P,E,Power Nissan - Salem,503-581-3849,2021-03-11T23:22:17,CAR_DEALER,200-9,44.921582,-123.006236,Salem,,,OR,2755 Mission St SE,97302,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,POINT (7553059.779826014 467573.7692883394),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
21,21,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39841,2011-03-15,P,E,Tonkin Nissan,503-222-2277,2021-03-11T23:22:17,CAR_DEALER,200-9,45.326814,-122.770853,Wilsonville,,,OR,26700 SW 95th Ave,97070,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,POINT (7618152.067299959 613451.0648282226),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
23,23,private,Employee and customer use only,,,2021-06-07,,ELEC,Private,40765,2011-03-15,P,E,Mentor Graphics,,2021-06-07T17:37:37,OFFICE_BLDG,200-8,45.317487,-122.759692,Wilsonville,,,OR,8005 SW Boeckman Rd,97070,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,,POINT (7620926.258477775 609971.4001341016),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
