,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
0,public,24 hours daily,,,2021-06-07,,ELEC,Public,33378,2008-10-15,P,E,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,800-955-6674,2021-06-07T17:37:37Z,MUSEUM,GPS,45.508396,-122.664667,Portland,Under solar canopy in east parking lot,,OR,1945 SE Water Ave,97214,US,,,,,,,,,,,"['J1772', 'NEMA515']",,2.0,2.0,Non-Networked,,,Free,SOLAR,,,,,,,,,,,,,,,Public,,,
1,public,24 hours daily,,,2021-06-07,,ELEC,Public,34849,2009-10-15,SG,E,City of Keizer - City Hall,503-390-3700,2021-06-07T17:37:37Z,PARKING_LOT,200-9,44.99574,-123.019758,Salem,,,OR,930 Chemawa Rd NE,97303,US,,,,,,,,,,,['NEMA520'],,2.0,,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
2,private,Employee use only,,,2021-04-08,,ELEC,Private,34859,2017-02-21,P,E,Nike - LA Garage,,2021-04-08T20:32:57Z,OFFICE_BLDG,GPS,45.508795,-122.8249,Beaverton,,,OR,1 Bowerman Dr,97006,US,,,,,,,,,,,['J1772'],,,6.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
3,public,24 hours daily,,,2021-06-22,,ELEC,Public,35258,,,E,LINCOLN CITY TAFT DUAL 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.928439,-124.015824,Lincoln City,,,OR,1226 SW 50th St,97367,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL226108'], 'posts': ['307676', '307678']}",
4,public,24 hours daily,,,2021-06-22,,ELEC,Public,35480,,,E,LBCC  LBCC DUAL 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.586123,-123.115389,Albany,,,OR,Ellingson Rd SW,97321,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL214315'], 'posts': ['291203', '291205']}",
5,public,24 hours daily,,,2021-06-22,,ELEC,Public,35481,,,E,LINCOLN CITY NE15TH PARKING1,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.97604,-124.011459,Lincoln City,,,OR,1601 NE 15th St,97367,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL777'], 'posts': ['249075', '249077']}",
6,private,Employee use only,,,2021-01-14,,ELEC,Private,35557,2009-11-01,P,E,Oregon Electric Group,,2021-05-20T22:28:33Z,UTILITY,200-9,45.510465,-122.663354,Portland,,,OR,1709 SE 3rd Ave,97214,US,,,,,,,,,,,"['J1772', 'NEMA520']",,3.0,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
7,public,"Employee, student, and visitor use only",,,2021-06-07,,ELEC,Public,36371,2010-09-05,LG,E,Lane Community College,541-463-3000,2021-06-07T17:37:37Z,COLLEGE_CAMPUS,200-9,44.009797,-123.033213,Eugene,Under solar canopy; Lot B,,OR,4000 E 30th Ave,97405,US,,,,,,,,,,,"['J1772', 'NEMA520']",,10.0,10.0,Non-Networked,,,Free,SOLAR,,,,,,,,,,,,,,,Public,,,
8,public,24 hours daily,,,2021-06-22,,ELEC,Public,37170,,,E,HILLSBORO OR MAIN ST 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.522609,-122.988535,Hillsboro,,,OR,150 E Main St,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL214301'], 'posts': ['291177', '291179']}",
9,public,24 hours daily,,,2021-06-22,,ELEC,Public,37171,,,E,HILLSBORO OR EV-8,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520533,-122.978089,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5444241'], 'posts': ['9051251', '9051261']}",
