NAME,B25003_001E,B25003_002E,B25003_003E,state,county,tract,block group
"Block Group 1, Census Tract 24, Jackson County, Oregon",390,339,51,41,029,002400,1
"Block Group 1, Census Tract 9508, Lincoln County, Oregon",667,514,153,41,041,950800,1
"Block Group 2, Census Tract 9508, Lincoln County, Oregon",935,508,427,41,041,950800,2
"Block Group 1, Census Tract 9514, Lincoln County, Oregon",670,509,161,41,041,951400,1
"Block Group 2, Census Tract 9514, Lincoln County, Oregon",549,294,255,41,041,951400,2
"Block Group 2, Census Tract 27, Jackson County, Oregon",644,542,102,41,029,002700,2
"Block Group 3, Census Tract 27, Jackson County, Oregon",1401,1110,291,41,029,002700,3
"Block Group 1, Census Tract 27, Jackson County, Oregon",418,295,123,41,029,002700,1
"Block Group 4, Census Tract 27, Jackson County, Oregon",711,513,198,41,029,002700,4
"Block Group 3, Census Tract 11, Jackson County, Oregon",427,357,70,41,029,001100,3
"Block Group 2, Census Tract 11, Jackson County, Oregon",1137,970,167,41,029,001100,2
"Block Group 1, Census Tract 11, Jackson County, Oregon",521,452,69,41,029,001100,1
"Block Group 1, Census Tract 13.01, Jackson County, Oregon",515,396,119,41,029,001301,1
"Block Group 3, Census Tract 13.01, Jackson County, Oregon",308,235,73,41,029,001301,3
"Block Group 2, Census Tract 21, Jackson County, Oregon",444,165,279,41,029,002100,2
"Block Group 3, Census Tract 21, Jackson County, Oregon",420,277,143,41,029,002100,3
"Block Group 5, Census Tract 29, Jackson County, Oregon",609,397,212,41,029,002900,5
"Block Group 1, Census Tract 29, Jackson County, Oregon",392,244,148,41,029,002900,1
"Block Group 2, Census Tract 29, Jackson County, Oregon",711,613,98,41,029,002900,2
"Block Group 6, Census Tract 29, Jackson County, Oregon",381,270,111,41,029,002900,6
"Block Group 3, Census Tract 18, Jackson County, Oregon",1119,831,288,41,029,001800,3
"Block Group 1, Census Tract 18, Jackson County, Oregon",722,488,234,41,029,001800,1
"Block Group 2, Census Tract 18, Jackson County, Oregon",1153,898,255,41,029,001800,2
"Block Group 2, Census Tract 20, Jackson County, Oregon",505,207,298,41,029,002000,2
"Block Group 1, Census Tract 28, Jackson County, Oregon",652,514,138,41,029,002800,1
"Block Group 3, Census Tract 28, Jackson County, Oregon",266,256,10,41,029,002800,3
"Block Group 1, Census Tract 8, Jackson County, Oregon",1536,897,639,41,029,000800,1
"Block Group 1, Census Tract 7, Jackson County, Oregon",680,432,248,41,029,000700,1
"Block Group 2, Census Tract 7, Jackson County, Oregon",1037,911,126,41,029,000700,2
"Block Group 2, Census Tract 500.01, Douglas County, Oregon",765,561,204,41,019,050001,2
"Block Group 1, Census Tract 500.01, Douglas County, Oregon",303,294,9,41,019,050001,1
"Block Group 4, Census Tract 500.01, Douglas County, Oregon",309,284,25,41,019,050001,4
"Block Group 1, Census Tract 1800, Douglas County, Oregon",454,388,66,41,019,180000,1
"Block Group 4, Census Tract 1800, Douglas County, Oregon",237,89,148,41,019,180000,4
"Block Group 1, Census Tract 9704, Klamath County, Oregon",554,440,114,41,035,970400,1
"Block Group 2, Census Tract 9714, Klamath County, Oregon",413,235,178,41,035,971400,2
"Block Group 3, Census Tract 9714, Klamath County, Oregon",230,164,66,41,035,971400,3
"Block Group 4, Census Tract 9715, Klamath County, Oregon",375,162,213,41,035,971500,4
"Block Group 1, Census Tract 9715, Klamath County, Oregon",269,163,106,41,035,971500,1
"Block Group 5, Census Tract 9715, Klamath County, Oregon",560,382,178,41,035,971500,5
"Block Group 2, Census Tract 9715, Klamath County, Oregon",352,168,184,41,035,971500,2
"Block Group 3, Census Tract 9718, Klamath County, Oregon",371,36,335,41,035,971800,3
"Block Group 1, Census Tract 9504, Lincoln County, Oregon",901,450,451,41,041,950400,1
"Block Group 3, Census Tract 30.02, Jackson County, Oregon",688,519,169,41,029,003002,3
"Block Group 1, Census Tract 9501, Lincoln County, Oregon",884,610,274,41,041,950100,1
"Block Group 2, Census Tract 9501, Lincoln County, Oregon",456,364,92,41,041,950100,2
"Block Group 1, Census Tract 9511, Lincoln County, Oregon",353,235,118,41,041,951100,1
"Block Group 2, Census Tract 9511, Lincoln County, Oregon",466,322,144,41,041,951100,2
"Block Group 1, Census Tract 9516, Lincoln County, Oregon",611,444,167,41,041,951600,1
"Block Group 3, Census Tract 9516, Lincoln County, Oregon",404,331,73,41,041,951600,3
"Block Group 2, Census Tract 9516, Lincoln County, Oregon",595,357,238,41,041,951600,2
"Block Group 1, Census Tract 9509, Lincoln County, Oregon",326,171,155,41,041,950900,1
"Block Group 3, Census Tract 9509, Lincoln County, Oregon",464,254,210,41,041,950900,3
"Block Group 2, Census Tract 9509, Lincoln County, Oregon",301,137,164,41,041,950900,2
"Block Group 4, Census Tract 9509, Lincoln County, Oregon",390,226,164,41,041,950900,4
"Block Group 2, Census Tract 9512, Lincoln County, Oregon",389,233,156,41,041,951200,2
"Block Group 1, Census Tract 28, Marion County, Oregon",520,412,108,41,047,002800,1
"Block Group 2, Census Tract 28, Marion County, Oregon",1026,639,387,41,047,002800,2
"Block Group 2, Census Tract 101, Marion County, Oregon",209,132,77,41,047,010100,2
"Block Group 1, Census Tract 106, Marion County, Oregon",109,73,36,41,047,010600,1
"Block Group 2, Census Tract 222.01, Clackamas County, Oregon",1582,233,1349,41,005,022201,2
"Block Group 1, Census Tract 222.01, Clackamas County, Oregon",202,119,83,41,005,022201,1
"Block Group 2, Census Tract 235, Clackamas County, Oregon",534,534,0,41,005,023500,2
"Block Group 5, Census Tract 235, Clackamas County, Oregon",373,289,84,41,005,023500,5
"Block Group 1, Census Tract 235, Clackamas County, Oregon",533,428,105,41,005,023500,1
"Block Group 1, Census Tract 238, Clackamas County, Oregon",463,403,60,41,005,023800,1
"Block Group 3, Census Tract 238, Clackamas County, Oregon",200,174,26,41,005,023800,3
"Block Group 5, Census Tract 238, Clackamas County, Oregon",410,310,100,41,005,023800,5
"Block Group 2, Census Tract 216.01, Clackamas County, Oregon",1307,540,767,41,005,021601,2
"Block Group 3, Census Tract 216.01, Clackamas County, Oregon",469,289,180,41,005,021601,3
"Block Group 3, Census Tract 9701, Klamath County, Oregon",282,106,176,41,035,970100,3
"Block Group 1, Census Tract 9701, Klamath County, Oregon",192,122,70,41,035,970100,1
"Block Group 2, Census Tract 30.02, Jackson County, Oregon",625,438,187,41,029,003002,2
"Block Group 1, Census Tract 25, Jackson County, Oregon",475,444,31,41,029,002500,1
"Block Group 2, Census Tract 25, Jackson County, Oregon",306,261,45,41,029,002500,2
"Block Group 2, Census Tract 9, Jackson County, Oregon",1059,810,249,41,029,000900,2
